Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
05-01-2022,S005,P0005,Electronics,North,312,188,94,197.91,76.31,9.51,Cloudy,0,78.2,Winter
15-11-2022,S005,P0017,Toys,North,159,29,73,34.73,20.27,4.8,Sunny,0,20.06,Autumn
10-04-2022,S005,P0007,Groceries,North,437,228,0,215.72,3.81,1.13,Snowy,0,3.83,Spring
25-03-2023,S004,P0017,Toys,West,150,29,87,28.07,20.37,2.15,Rainy,0,21.68,Spring
25-02-2022,S003,P0019,Electronics,East,253,152,5,131.14,484.14,42.16,Cloudy,0,455.34,Winter
28-09-2023,S003,P0002,Toys,East,248,186,127,207.86,63.23,13.39,Sunny,0,62.25,Autumn
06-12-2023,S001,P0016,Furniture,North,216,203,31,212.06,256.9,75.79,Snowy,1,280.69,Winter
11-05-2023,S003,P0002,Toys,East,401,326,138,372.46,61.1,7.08,Sunny,0,56.5,Spring
24-01-2022,S002,P0014,Electronics,South,197,37,53,41.77,196.47,23.87,Snowy,0,215.13,Winter
18-02-2023,S005,P0009,Groceries,North,290,243,10,241.25,15.44,3.83,Sunny,1,16.75,Winter
13-07-2022,S003,P0005,Electronics,East,180,79,102,76.46,73.37,16.06,Cloudy,0,79.14,Summer
28-01-2022,S002,P0009,Groceries,South,155,84,133,69.92,15.18,4.31,Rainy,1,14.78,Winter
04-07-2022,S005,P0004,Clothing,North,438,355,52,406.54,31.93,6.0,Snowy,0,32.57,Summer
19-09-2023,S002,P0020,Clothing,South,155,52,3,51.99,73.47,14.3,Snowy,0,75.76,Autumn
14-12-2022,S001,P0007,Groceries,North,476,300,131,301.83,4.15,0.11,Sunny,0,3.9,Winter
19-12-2023,S003,P0017,Toys,East,55,28,92,30.18,19.45,3.48,Cloudy,0,17.67,Winter
12-09-2022,S003,P0007,Groceries,East,119,47,90,47.18,4.06,1.01,Cloudy,0,4.41,Autumn
27-08-2023,S001,P0019,Electronics,North,134,95,3,105.65,520.78,95.6,Snowy,1,500.9,Summer
26-09-2022,S002,P0004,Clothing,South,185,138,78,140.55,31.11,6.4,Sunny,0,29.29,Autumn
11-08-2023,S002,P0017,Toys,South,195,114,116,107.26,19.22,2.06,Snowy,1,18.1,Summer
04-11-2022,S004,P0017,Toys,West,428,210,92,249.08,20.97,5.23,Cloudy,0,21.47,Autumn
17-08-2023,S005,P0004,Clothing,North,373,28,51,32.97,32.03,5.56,Sunny,0,29.11,Summer
22-11-2022,S005,P0013,Toys,North,286,280,149,249.05,26.21,3.1,Sunny,0,25.24,Autumn
30-10-2023,S004,P0016,Furniture,West,388,155,58,147.38,242.44,11.97,Cloudy,0,263.1,Autumn
19-09-2022,S003,P0006,Furniture,East,396,79,39,69.19,178.52,25.35,Rainy,1,186.26,Autumn
28-03-2022,S005,P0010,Clothing,North,219,12,134,11.0,47.49,5.62,Sunny,0,43.13,Spring
28-04-2022,S001,P0001,Groceries,North,337,322,15,339.72,33.36,3.35,Sunny,0,33.07,Spring
10-11-2023,S004,P0009,Groceries,West,183,11,78,13.02,15.48,1.65,Rainy,1,16.92,Autumn
08-07-2023,S002,P0004,Clothing,South,447,69,39,73.14,32.17,3.69,Snowy,0,33.41,Summer
19-04-2022,S003,P0017,Toys,East,74,33,147,35.19,20.51,0.08,Rainy,0,22.07,Spring
17-08-2022,S004,P0008,Electronics,West,67,66,62,66.43,291.36,7.56,Snowy,0,267.11,Summer
14-07-2022,S001,P0018,Groceries,North,466,343,18,295.96,8.71,1.61,Cloudy,1,9.36,Summer
08-07-2022,S003,P0007,Groceries,East,215,80,0,87.36,4.02,0.83,Rainy,0,4.28,Summer
27-05-2023,S002,P0004,Clothing,South,437,112,96,129.51,32.29,0.77,Snowy,0,32.91,Spring
01-03-2022,S003,P0011,Furniture,East,423,386,123,431.25,116.1,18.36,Cloudy,1,117.26,Spring
24-03-2022,S005,P0015,Clothing,North,266,190,3,225.27,57.58,11.8,Sunny,0,54.84,Spring
26-04-2023,S001,P0018,Groceries,North,270,115,122,107.06,8.74,0.06,Cloudy,0,8.61,Spring
17-05-2023,S001,P0009,Groceries,North,296,286,83,240.1,15.08,1.89,Rainy,0,16.28,Spring
13-08-2022,S002,P0003,Toys,South,340,218,47,185.41,27.39,3.22,Rainy,1,27.79,Summer
03-06-2022,S004,P0020,Clothing,West,130,81,48,73.3,74.41,16.22,Snowy,0,68.71,Summer
16-03-2022,S005,P0019,Electronics,North,433,248,56,260.57,518.04,118.16,Sunny,1,480.11,Spring
25-05-2022,S002,P0009,Groceries,South,412,202,12,218.47,15.5,0.59,Snowy,0,16.81,Spring
17-04-2022,S003,P0004,Clothing,East,412,10,150,11.57,31.6,4.46,Cloudy,0,33.17,Spring
09-04-2023,S005,P0013,Toys,North,150,120,106,123.1,26.11,3.47,Rainy,0,25.6,Spring
21-10-2022,S005,P0006,Furniture,North,497,195,66,186.35,177.62,28.6,Rainy,0,163.11,Autumn
05-11-2023,S001,P0006,Furniture,North,343,56,41,63.94,168.01,39.9,Cloudy,1,156.46,Autumn
17-06-2022,S004,P0005,Electronics,West,411,219,36,209.6,75.23,20.83,Sunny,0,67.88,Summer
19-07-2022,S004,P0001,Groceries,West,369,265,25,218.82,33.13,7.65,Cloudy,0,32.79,Summer
02-08-2023,S003,P0007,Groceries,East,158,114,130,129.47,3.87,0.06,Rainy,1,3.65,Summer
10-12-2022,S005,P0002,Toys,North,370,67,117,61.68,60.95,8.27,Rainy,0,57.78,Winter
09-05-2023,S001,P0001,Groceries,North,476,282,97,312.2,32.45,0.55,Cloudy,0,30.16,Spring
15-10-2023,S002,P0014,Electronics,South,287,90,65,104.74,204.56,6.21,Rainy,0,202.26,Autumn
18-08-2023,S004,P0009,Groceries,West,483,234,96,206.76,15.42,0.18,Snowy,0,15.49,Summer
19-03-2023,S002,P0017,Toys,South,478,118,146,123.2,19.28,1.39,Snowy,0,19.41,Spring
06-09-2022,S002,P0015,Clothing,South,317,41,67,45.59,54.58,6.06,Rainy,1,55.96,Autumn
02-06-2023,S005,P0002,Toys,North,461,27,101,27.1,62.03,8.27,Sunny,1,63.09,Summer
26-06-2023,S004,P0003,Toys,West,428,231,4,238.5,28.48,7.65,Rainy,0,26.27,Summer
27-07-2023,S001,P0006,Furniture,North,437,409,99,334.54,168.62,0.3,Rainy,0,156.48,Summer
28-09-2023,S004,P0012,Clothing,West,316,242,150,252.58,86.9,12.81,Sunny,0,79.16,Autumn
05-04-2023,S001,P0018,Groceries,North,405,93,137,97.75,8.77,1.12,Rainy,0,7.95,Spring
06-04-2023,S003,P0002,Toys,East,473,260,114,306.17,60.48,7.76,Rainy,1,61.06,Spring
08-05-2022,S003,P0020,Clothing,East,425,191,44,163.22,71.98,20.42,Sunny,0,74.44,Spring
02-02-2023,S001,P0005,Electronics,North,284,89,24,76.97,75.01,15.54,Cloudy,0,68.83,Winter
24-03-2022,S002,P0019,Electronics,South,166,74,73,75.72,509.09,2.91,Snowy,0,521.63,Spring
24-03-2022,S005,P0013,Toys,North,397,360,135,306.81,25.77,4.48,Sunny,0,27.16,Spring
22-05-2022,S004,P0003,Toys,West,286,48,82,38.56,27.1,7.5,Rainy,0,27.38,Spring
28-11-2023,S003,P0011,Furniture,East,408,257,23,279.51,119.23,21.7,Rainy,0,107.37,Autumn
26-10-2022,S001,P0017,Toys,North,166,160,113,137.9,19.61,0.09,Snowy,0,20.79,Autumn
30-08-2022,S002,P0010,Clothing,South,167,142,71,156.89,45.87,12.99,Snowy,0,42.17,Summer
13-09-2023,S001,P0008,Electronics,North,368,150,51,131.25,293.8,72.39,Snowy,0,298.29,Autumn
03-09-2023,S005,P0018,Groceries,North,480,466,135,372.94,8.35,1.8,Sunny,0,9.13,Autumn
28-12-2023,S002,P0002,Toys,South,56,29,88,28.14,62.33,2.87,Rainy,0,64.01,Winter
31-01-2023,S005,P0010,Clothing,North,245,244,119,232.42,46.99,5.39,Rainy,0,48.92,Winter
14-04-2022,S002,P0017,Toys,South,60,36,108,39.34,20.7,5.31,Cloudy,0,21.84,Spring
11-08-2022,S001,P0018,Groceries,North,282,250,95,204.41,8.66,0.74,Cloudy,0,9.19,Summer
10-06-2023,S005,P0005,Electronics,North,498,280,47,252.17,71.47,3.23,Snowy,0,70.36,Summer
21-05-2023,S005,P0003,Toys,North,486,327,59,313.97,29.18,2.88,Cloudy,1,31.23,Spring
05-01-2023,S001,P0019,Electronics,North,372,207,125,166.41,511.11,72.97,Cloudy,0,518.83,Winter
07-07-2023,S004,P0020,Clothing,West,396,334,106,305.07,68.96,14.38,Cloudy,1,72.36,Summer
10-04-2023,S001,P0010,Clothing,North,374,24,130,24.92,46.54,12.0,Rainy,1,44.33,Spring
18-12-2022,S005,P0018,Groceries,North,471,168,123,147.66,8.2,1.13,Snowy,1,7.62,Winter
14-10-2022,S005,P0007,Groceries,North,166,86,119,83.26,3.83,0.37,Cloudy,1,3.76,Autumn
21-01-2023,S002,P0011,Furniture,South,224,112,121,129.27,124.22,11.61,Sunny,0,126.52,Winter
02-05-2023,S004,P0017,Toys,West,264,78,128,75.32,19.44,1.69,Rainy,0,17.52,Spring
09-12-2023,S005,P0015,Clothing,North,420,389,27,460.91,52.57,14.81,Sunny,0,48.87,Winter
03-07-2023,S001,P0017,Toys,North,449,247,108,230.36,19.68,4.35,Sunny,0,18.51,Summer
29-03-2023,S004,P0009,Groceries,West,465,90,83,77.4,14.94,0.24,Sunny,0,16.3,Spring
21-06-2022,S002,P0010,Clothing,South,63,31,3,27.21,46.9,2.61,Cloudy,0,50.98,Summer
07-10-2022,S004,P0010,Clothing,West,135,45,122,41.12,46.13,11.46,Snowy,1,50.02,Autumn
04-11-2022,S002,P0006,Furniture,South,106,17,53,19.99,177.69,43.91,Cloudy,0,165.13,Autumn
30-10-2022,S003,P0001,Groceries,East,391,384,93,446.66,33.04,0.16,Sunny,1,36.25,Autumn
02-10-2023,S002,P0015,Clothing,South,404,157,38,153.36,57.2,0.26,Cloudy,0,56.16,Autumn
08-10-2022,S002,P0020,Clothing,South,379,260,49,233.95,72.92,8.61,Snowy,0,76.24,Autumn
02-08-2023,S004,P0018,Groceries,West,207,130,107,153.49,8.34,0.34,Sunny,0,8.63,Summer
31-10-2023,S005,P0003,Toys,North,464,336,88,328.18,27.69,1.74,Rainy,0,27.05,Autumn
15-05-2023,S002,P0005,Electronics,South,389,105,62,100.04,71.88,6.25,Snowy,0,69.25,Spring
09-05-2022,S002,P0017,Toys,South,140,15,117,13.12,20.8,3.61,Rainy,0,19.3,Spring
15-09-2023,S005,P0009,Groceries,North,468,319,67,305.68,14.27,2.21,Rainy,0,15.51,Autumn
25-09-2022,S001,P0010,Clothing,North,59,27,149,32.0,46.14,6.99,Rainy,0,43.85,Autumn
28-08-2022,S003,P0006,Furniture,East,293,123,13,136.4,167.0,36.76,Sunny,0,159.66,Summer
11-12-2023,S004,P0003,Toys,West,72,36,41,34.06,26.89,0.7,Sunny,0,24.68,Winter
