id,forecast_log_id,date,store_id,product_id,predicted,actual,created_at
1,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR001,SKU1001,48.93,52.0,2025-11-04 10:44:40.141963
2,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR001,SKU1002,114.36,108.0,2025-11-04 10:44:40.141963
3,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR001,SKU1003,59.02,59.0,2025-11-04 10:44:40.141963
4,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR001,SKU1004,59.75,52.0,2025-11-04 10:44:40.141963
5,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR001,SKU1005,58.96,64.0,2025-11-04 10:44:40.141963
6,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR002,SKU1001,7.04,7.0,2025-11-04 10:44:40.141963
7,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR002,SKU1002,12.07,15.0,2025-11-04 10:44:40.141963
8,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR002,SKU1003,11.81,11.0,2025-11-04 10:44:40.141963
9,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR002,SKU1004,17.59,20.0,2025-11-04 10:44:40.141963
10,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR002,SKU1005,11.24,11.0,2025-11-04 10:44:40.141963
11,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR003,SKU1001,16.69,14.0,2025-11-04 10:44:40.141963
12,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR003,SKU1002,21.59,22.0,2025-11-04 10:44:40.141963
13,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR003,SKU1003,20.95,19.0,2025-11-04 10:44:40.141963
14,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR003,SKU1004,27.02,28.0,2025-11-04 10:44:40.141963
15,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR003,SKU1005,23.47,21.0,2025-11-04 10:44:40.141963
16,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR004,SKU1001,117.75,113.0,2025-11-04 10:44:40.141963
17,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR004,SKU1002,49.1,53.0,2025-11-04 10:44:40.141963
18,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR004,SKU1003,108.64,102.0,2025-11-04 10:44:40.141963
19,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR004,SKU1004,57.84,68.0,2025-11-04 10:44:40.141963
20,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR004,SKU1005,101.81,86.0,2025-11-04 10:44:40.141963
21,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR005,SKU1001,18.51,21.0,2025-11-04 10:44:40.141963
22,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR005,SKU1002,16.75,19.0,2025-11-04 10:44:40.141963
23,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR005,SKU1003,7.32,7.0,2025-11-04 10:44:40.141963
24,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR005,SKU1004,7.75,7.0,2025-11-04 10:44:40.141963
25,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR005,SKU1005,26.38,22.0,2025-11-04 10:44:40.141963
26,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR006,SKU1001,311.56,261.0,2025-11-04 10:44:40.141963
27,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR006,SKU1002,209.46,187.0,2025-11-04 10:44:40.141963
28,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR006,SKU1003,268.65,277.0,2025-11-04 10:44:40.141963
29,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR006,SKU1004,245.99,229.0,2025-11-04 10:44:40.141963
30,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR006,SKU1005,174.45,155.0,2025-11-04 10:44:40.141963
31,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR007,SKU1001,299.14,262.0,2025-11-04 10:44:40.141963
32,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR007,SKU1002,134.66,163.0,2025-11-04 10:44:40.141963
33,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR007,SKU1003,127.16,158.0,2025-11-04 10:44:40.141963
34,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR007,SKU1004,214.41,239.0,2025-11-04 10:44:40.141963
35,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR007,SKU1005,162.46,184.0,2025-11-04 10:44:40.141963
36,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR008,SKU1001,104.1,89.0,2025-11-04 10:44:40.141963
37,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR008,SKU1002,107.86,109.0,2025-11-04 10:44:40.141963
38,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR008,SKU1003,94.31,96.0,2025-11-04 10:44:40.141963
39,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR008,SKU1004,71.69,62.0,2025-11-04 10:44:40.141963
40,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR008,SKU1005,82.97,81.0,2025-11-04 10:44:40.141963
41,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR009,SKU1001,66.68,71.0,2025-11-04 10:44:40.141963
42,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR009,SKU1002,59.86,65.0,2025-11-04 10:44:40.141963
43,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR009,SKU1003,80.58,75.0,2025-11-04 10:44:40.141963
44,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR009,SKU1004,66.04,74.0,2025-11-04 10:44:40.141963
45,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR009,SKU1005,104.8,95.0,2025-11-04 10:44:40.141963
46,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR010,SKU1001,64.04,70.0,2025-11-04 10:44:40.141963
47,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR010,SKU1002,86.7,105.0,2025-11-04 10:44:40.141963
48,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR010,SKU1003,63.14,53.0,2025-11-04 10:44:40.141963
49,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR010,SKU1004,74.86,77.0,2025-11-04 10:44:40.141963
50,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-01,STR010,SKU1005,63.07,55.0,2025-11-04 10:44:40.141963
51,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR001,SKU1001,74.02,85.0,2025-11-04 10:44:40.141963
52,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR001,SKU1002,115.65,106.0,2025-11-04 10:44:40.141963
53,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR001,SKU1003,73.04,65.0,2025-11-04 10:44:40.141963
54,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR001,SKU1004,90.8,85.0,2025-11-04 10:44:40.141963
55,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR001,SKU1005,121.62,106.0,2025-11-04 10:44:40.141963
56,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR002,SKU1001,17.42,20.0,2025-11-04 10:44:40.141963
57,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR002,SKU1002,24.54,25.0,2025-11-04 10:44:40.141963
58,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR002,SKU1003,7.65,7.0,2025-11-04 10:44:40.141963
59,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR002,SKU1004,15.9,19.0,2025-11-04 10:44:40.141963
60,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR002,SKU1005,16.54,18.0,2025-11-04 10:44:40.141963
61,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR003,SKU1001,21.62,20.0,2025-11-04 10:44:40.141963
62,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR003,SKU1002,8.95,8.0,2025-11-04 10:44:40.141963
63,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR003,SKU1003,19.77,24.0,2025-11-04 10:44:40.141963
64,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR003,SKU1004,14.86,15.0,2025-11-04 10:44:40.141963
65,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR003,SKU1005,22.33,27.0,2025-11-04 10:44:40.141963
66,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR004,SKU1001,78.74,74.0,2025-11-04 10:44:40.141963
67,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR004,SKU1002,92.5,91.0,2025-11-04 10:44:40.141963
68,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR004,SKU1003,73.34,80.0,2025-11-04 10:44:40.141963
69,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR004,SKU1004,102.59,94.0,2025-11-04 10:44:40.141963
70,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR004,SKU1005,72.15,89.0,2025-11-04 10:44:40.141963
71,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR005,SKU1001,11.85,10.0,2025-11-04 10:44:40.141963
72,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR005,SKU1002,24.97,26.0,2025-11-04 10:44:40.141963
73,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR005,SKU1003,9.32,11.0,2025-11-04 10:44:40.141963
74,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR005,SKU1004,26.63,28.0,2025-11-04 10:44:40.141963
75,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR005,SKU1005,21.01,22.0,2025-11-04 10:44:40.141963
76,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR006,SKU1001,191.83,211.0,2025-11-04 10:44:40.141963
77,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR006,SKU1002,289.09,261.0,2025-11-04 10:44:40.141963
78,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR006,SKU1003,152.36,181.0,2025-11-04 10:44:40.141963
79,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR006,SKU1004,209.88,203.0,2025-11-04 10:44:40.141963
80,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR006,SKU1005,305.67,273.0,2025-11-04 10:44:40.141963
81,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR007,SKU1001,311.6,299.0,2025-11-04 10:44:40.141963
82,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR007,SKU1002,227.88,217.0,2025-11-04 10:44:40.141963
83,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR007,SKU1003,314.53,294.0,2025-11-04 10:44:40.141963
84,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR007,SKU1004,127.26,159.0,2025-11-04 10:44:40.141963
85,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR007,SKU1005,251.51,230.0,2025-11-04 10:44:40.141963
86,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR008,SKU1001,69.37,85.0,2025-11-04 10:44:40.141963
87,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR008,SKU1002,140.37,117.0,2025-11-04 10:44:40.141963
88,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR008,SKU1003,91.02,105.0,2025-11-04 10:44:40.141963
89,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR008,SKU1004,55.75,54.0,2025-11-04 10:44:40.141963
90,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR008,SKU1005,139.03,119.0,2025-11-04 10:44:40.141963
91,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR009,SKU1001,94.24,85.0,2025-11-04 10:44:40.141963
92,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR009,SKU1002,90.97,89.0,2025-11-04 10:44:40.141963
93,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR009,SKU1003,55.46,52.0,2025-11-04 10:44:40.141963
94,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR009,SKU1004,92.19,107.0,2025-11-04 10:44:40.141963
95,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR009,SKU1005,103.68,95.0,2025-11-04 10:44:40.141963
96,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR010,SKU1001,79.97,69.0,2025-11-04 10:44:40.141963
97,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR010,SKU1002,48.91,58.0,2025-11-04 10:44:40.141963
98,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR010,SKU1003,115.58,98.0,2025-11-04 10:44:40.141963
99,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR010,SKU1004,112.16,112.0,2025-11-04 10:44:40.141963
100,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-02,STR010,SKU1005,41.91,50.0,2025-11-04 10:44:40.141963
101,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR001,SKU1001,52.35,58.0,2025-11-04 10:44:40.141963
102,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR001,SKU1002,66.67,75.0,2025-11-04 10:44:40.141963
103,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR001,SKU1003,90.14,84.0,2025-11-04 10:44:40.141963
104,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR001,SKU1004,94.35,83.0,2025-11-04 10:44:40.141963
105,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR001,SKU1005,54.22,62.0,2025-11-04 10:44:40.141963
106,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR002,SKU1001,21.81,22.0,2025-11-04 10:44:40.141963
107,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR002,SKU1002,25.18,23.0,2025-11-04 10:44:40.141963
108,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR002,SKU1003,4.01,5.0,2025-11-04 10:44:40.141963
109,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR002,SKU1004,26.22,25.0,2025-11-04 10:44:40.141963
110,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR002,SKU1005,5.65,6.0,2025-11-04 10:44:40.141963
111,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR003,SKU1001,6.35,6.0,2025-11-04 10:44:40.141963
112,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR003,SKU1002,12.46,13.0,2025-11-04 10:44:40.141963
113,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR003,SKU1003,4.99,5.0,2025-11-04 10:44:40.141963
114,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR003,SKU1004,19.01,18.0,2025-11-04 10:44:40.141963
115,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR003,SKU1005,19.6,21.0,2025-11-04 10:44:40.141963
116,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR004,SKU1001,114.11,108.0,2025-11-04 10:44:40.141963
117,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR004,SKU1002,73.27,64.0,2025-11-04 10:44:40.141963
118,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR004,SKU1003,73.31,87.0,2025-11-04 10:44:40.141963
119,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR004,SKU1004,62.47,54.0,2025-11-04 10:44:40.141963
120,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR004,SKU1005,131.93,112.0,2025-11-04 10:44:40.141963
121,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR005,SKU1001,6.71,6.0,2025-11-04 10:44:40.141963
122,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR005,SKU1002,17.47,19.0,2025-11-04 10:44:40.141963
123,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR005,SKU1003,8.08,10.0,2025-11-04 10:44:40.141963
124,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR005,SKU1004,10.62,9.0,2025-11-04 10:44:40.141963
125,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR005,SKU1005,4.16,5.0,2025-11-04 10:44:40.141963
126,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR006,SKU1001,163.55,169.0,2025-11-04 10:44:40.141963
127,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR006,SKU1002,182.17,224.0,2025-11-04 10:44:40.141963
128,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR006,SKU1003,193.79,216.0,2025-11-04 10:44:40.141963
129,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR006,SKU1004,164.53,198.0,2025-11-04 10:44:40.141963
130,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR006,SKU1005,163.45,169.0,2025-11-04 10:44:40.141963
131,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR007,SKU1001,243.1,293.0,2025-11-04 10:44:40.141963
132,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR007,SKU1002,239.69,253.0,2025-11-04 10:44:40.141963
133,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR007,SKU1003,175.54,155.0,2025-11-04 10:44:40.141963
134,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR007,SKU1004,319.92,283.0,2025-11-04 10:44:40.141963
135,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR007,SKU1005,220.39,196.0,2025-11-04 10:44:40.141963
136,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR008,SKU1001,88.96,85.0,2025-11-04 10:44:40.141963
137,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR008,SKU1002,114.83,106.0,2025-11-04 10:44:40.141963
138,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR008,SKU1003,98.02,116.0,2025-11-04 10:44:40.141963
139,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR008,SKU1004,62.62,56.0,2025-11-04 10:44:40.141963
140,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR008,SKU1005,72.16,84.0,2025-11-04 10:44:40.141963
141,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR009,SKU1001,62.0,55.0,2025-11-04 10:44:40.141963
142,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR009,SKU1002,107.32,103.0,2025-11-04 10:44:40.141963
143,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR009,SKU1003,52.1,55.0,2025-11-04 10:44:40.141963
144,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR009,SKU1004,110.12,96.0,2025-11-04 10:44:40.141963
145,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR009,SKU1005,73.55,86.0,2025-11-04 10:44:40.141963
146,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR010,SKU1001,69.19,83.0,2025-11-04 10:44:40.141963
147,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR010,SKU1002,85.73,82.0,2025-11-04 10:44:40.141963
148,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR010,SKU1003,78.09,79.0,2025-11-04 10:44:40.141963
149,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR010,SKU1004,66.58,72.0,2025-11-04 10:44:40.141963
150,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-03,STR010,SKU1005,85.62,94.0,2025-11-04 10:44:40.141963
151,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-04,STR001,SKU1001,80.41,76.0,2025-11-04 10:44:40.141963
152,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-04,STR001,SKU1002,83.72,80.0,2025-11-04 10:44:40.141963
153,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-04,STR001,SKU1003,66.36,66.0,2025-11-04 10:44:40.141963
154,89bd37b0-da3d-4270-8396-c8aa1c870550,2025-07-04,STR001,SKU1004,80.66,95.0,2025-11-04 10:44:40.141963
