forecast_date,store_code,sku,forecast_qty
2025-08-01,STR001,SKU1001,10
2025-08-02,STR001,SKU1001,11
2025-08-03,STR001,SKU1001,12
2025-08-04,STR001,SKU1001,13
2025-08-05,STR001,SKU1001,14
2025-08-06,STR001,SKU1001,10
2025-08-07,STR001,SKU1001,11
2025-08-08,STR001,SKU1001,12
2025-08-09,STR001,SKU1001,13
2025-08-10,STR001,SKU1001,14
2025-08-11,STR001,SKU1001,10
2025-08-12,STR001,SKU1001,11
2025-08-13,STR001,SKU1001,12
2025-08-14,STR001,SKU1001,13
2025-08-15,STR001,SKU1001,14
2025-08-16,STR001,SKU1001,10
2025-08-17,STR001,SKU1001,11
2025-08-18,STR001,SKU1001,12
2025-08-19,STR001,SKU1001,13
2025-08-20,STR001,SKU1001,14
2025-08-21,STR001,SKU1001,10
2025-08-22,STR001,SKU1001,11
2025-08-23,STR001,SKU1001,12
2025-08-24,STR001,SKU1001,13
2025-08-25,STR001,SKU1001,14
2025-08-26,STR001,SKU1001,10
2025-08-27,STR001,SKU1001,11
2025-08-28,STR001,SKU1001,12
2025-08-01,STR001,SKU1002,10
2025-08-02,STR001,SKU1002,11
2025-08-03,STR001,SKU1002,12
2025-08-04,STR001,SKU1002,13
2025-08-05,STR001,SKU1002,14
2025-08-06,STR001,SKU1002,10
2025-08-08,STR001,SKU1002,11
2025-08-08,STR001,SKU1002,12
2025-08-08,STR001,SKU1002,13
2025-08-10,STR001,SKU1002,14
2025-08-11,STR001,SKU1002,10
2025-08-12,STR001,SKU1002,11
2025-08-13,STR001,SKU1002,12
2025-08-14,STR001,SKU1002,13
2025-08-15,STR001,SKU1002,14
2025-08-16,STR001,SKU1002,10
2025-08-17,STR001,SKU1002,11
2025-08-18,STR001,SKU1002,12
2025-08-19,STR001,SKU1002,13
2025-08-20,STR001,SKU1002,14
2025-08-21,STR001,SKU1002,10
2025-08-22,STR001,SKU1002,11
2025-08-23,STR001,SKU1002,12
2025-08-24,STR001,SKU1002,13
2025-08-25,STR001,SKU1002,14
2025-08-26,STR001,SKU1002,10
2025-08-27,STR001,SKU1002,11
2025-08-28,STR001,SKU1002,12
2025-08-01,STR002,SKU1001,10
2025-08-02,STR002,SKU1001,11
2025-08-03,STR002,SKU1001,12
2025-08-04,STR002,SKU1001,13
2025-08-05,STR002,SKU1001,14
2025-08-06,STR002,SKU1001,10
