forecast_date,store_code,sku,forecast_qty
2025-07-01,STR001,SKU1001,8
2025-07-02,STR001,SKU1001,11
2025-07-03,STR001,SKU1001,11
2025-07-04,STR001,SKU1001,10
2025-07-05,STR001,SKU1001,10
2025-07-06,STR001,SKU1001,11
2025-07-07,STR001,SKU1001,8
2025-07-08,STR001,SKU1001,12
2025-07-09,STR001,SKU1001,12
2025-07-10,STR001,SKU1001,12
2025-07-11,STR001,SKU1001,36
2025-07-12,STR001,SKU1001,8
2025-07-13,STR001,SKU1001,9
2025-07-14,STR001,SKU1001,8
2025-07-15,STR001,SKU1001,7
2025-07-16,STR001,SKU1001,8
2025-07-17,STR001,SKU1001,6
2025-07-18,STR001,SKU1001,8
2025-07-19,STR001,SKU1001,10
2025-07-20,STR001,SKU1001,8
2025-07-21,STR001,SKU1001,10
2025-07-22,STR001,SKU1001,27
2025-07-23,STR001,SKU1001,8
2025-07-24,STR001,SKU1001,5
2025-07-25,STR001,SKU1001,7
2025-07-26,STR001,SKU1001,8
2025-07-27,STR001,SKU1001,7
2025-07-28,STR001,SKU1001,9
2025-07-29,STR001,SKU1001,10
2025-07-30,STR001,SKU1001,12
2025-07-31,STR001,SKU1001,12
2025-08-01,STR001,SKU1001,8
2025-08-02,STR001,SKU1001,7
2025-08-03,STR001,SKU1001,9
2025-08-04,STR001,SKU1001,12
2025-08-05,STR001,SKU1001,13
2025-08-06,STR001,SKU1001,10
2025-08-07,STR001,SKU1001,11
2025-08-08,STR001,SKU1001,13
2025-08-09,STR001,SKU1001,10
2025-08-10,STR001,SKU1001,12
2025-08-11,STR001,SKU1001,12
2025-08-12,STR001,SKU1001,11
2025-08-13,STR001,SKU1001,7
2025-08-14,STR001,SKU1001,8
2025-08-15,STR001,SKU1001,9
2025-08-16,STR001,SKU1001,10
2025-08-17,STR001,SKU1001,8
2025-08-18,STR001,SKU1001,7
2025-08-19,STR001,SKU1001,7
2025-08-20,STR001,SKU1001,8
2025-08-21,STR001,SKU1001,8
2025-08-22,STR001,SKU1001,5
2025-08-23,STR001,SKU1001,5
2025-08-24,STR001,SKU1001,8
2025-08-25,STR001,SKU1001,7
2025-08-26,STR001,SKU1001,9
2025-08-27,STR001,SKU1001,8
2025-08-28,STR001,SKU1001,10
2025-08-29,STR001,SKU1001,10
2025-08-30,STR001,SKU1001,11
2025-08-31,STR001,SKU1001,9
2025-09-01,STR001,SKU1001,7
2025-09-02,STR001,SKU1001,10
2025-09-03,STR001,SKU1001,13
2025-09-04,STR001,SKU1001,10
2025-09-05,STR001,SKU1001,11
2025-09-06,STR001,SKU1001,11
2025-09-07,STR001,SKU1001,12
2025-09-08,STR001,SKU1001,10
2025-09-09,STR001,SKU1001,11
2025-09-10,STR001,SKU1001,8
2025-09-11,STR001,SKU1001,9
2025-09-12,STR001,SKU1001,9
2025-09-13,STR001,SKU1001,7
2025-09-14,STR001,SKU1001,9
2025-09-15,STR001,SKU1001,10
2025-09-16,STR001,SKU1001,8
2025-09-17,STR001,SKU1001,8
2025-09-18,STR001,SKU1001,8
2025-09-19,STR001,SKU1001,8
