Store ID,week_start,forecast_units
S001,2024-01-08,2734.1278072040095
S001,2024-01-15,2759.09631389438
S001,2024-01-22,2748.326404160739
S001,2024-01-29,2736.6675904827375
S002,2024-01-08,2726.9272446714276
S002,2024-01-15,2723.394091616123
S002,2024-01-22,2753.04539724677
S002,2024-01-29,2723.30837503896
S003,2024-01-08,2725.0023168176194
S003,2024-01-15,2735.5971973765295
S003,2024-01-22,2737.3334140322963
S003,2024-01-29,2731.379505819999
S004,2024-01-08,2739.7242818862505
S004,2024-01-15,2732.9475642603948
S004,2024-01-22,2753.4830082515905
S004,2024-01-29,2753.361656170638
S005,2024-01-08,2731.8461300536874
S005,2024-01-15,2748.634063780355
S005,2024-01-22,2738.8810359847917
S005,2024-01-29,2734.554914274848
