snapshot_date,store_code,sku,qty,product_name
2025-07-01,STR001,SKU1001,2520,Nike Running Shoes
2025-07-02,STR001,SKU1001,2100,Nike Running Shoes
2025-07-03,STR001,SKU1001,2700,Nike Running Shoes
2025-07-04,STR001,SKU1001,1890,Nike Running Shoes
2025-07-05,STR001,SKU1001,2700,Nike Running Shoes
2025-07-06,STR001,SKU1001,2070,Nike Running Shoes
2025-07-07,STR001,SKU1001,1590,Nike Running Shoes
2025-07-08,STR001,SKU1001,1650,Nike Running Shoes
2025-07-09,STR001,SKU1001,2460,Nike Running Shoes
2025-07-10,STR001,SKU1001,2760,Nike Running Shoes
2025-07-11,STR001,SKU1001,2280,Nike Running Shoes
2025-07-12,STR001,SKU1001,1680,Nike Running Shoes
2025-07-13,STR001,SKU1001,2400,Nike Running Shoes
2025-07-14,STR001,SKU1001,1230,Nike Running Shoes
2025-07-15,STR001,SKU1001,1740,Nike Running Shoes
2025-07-16,STR001,SKU1001,1320,Nike Running Shoes
2025-07-17,STR001,SKU1001,1650,Nike Running Shoes
2025-07-18,STR001,SKU1001,2820,Nike Running Shoes
2025-07-19,STR001,SKU1001,1590,Nike Running Shoes
2025-07-20,STR001,SKU1001,3210,Nike Running Shoes
2025-07-21,STR001,SKU1001,1590,Nike Running Shoes
2025-07-22,STR001,SKU1001,1770,Nike Running Shoes
2025-07-23,STR001,SKU1001,2790,Nike Running Shoes
2025-07-24,STR001,SKU1001,2520,Nike Running Shoes
2025-07-25,STR001,SKU1001,2250,Nike Running Shoes
2025-07-26,STR001,SKU1001,1800,Nike Running Shoes
2025-07-27,STR001,SKU1001,1710,Nike Running Shoes
2025-07-28,STR001,SKU1001,2400,Nike Running Shoes
2025-07-29,STR001,SKU1001,1260,Nike Running Shoes
2025-07-30,STR001,SKU1001,2670,Nike Running Shoes
2025-07-31,STR001,SKU1001,2220,Nike Running Shoes
2025-08-01,STR001,SKU1001,2730,Nike Running Shoes
2025-08-02,STR001,SKU1001,1950,Nike Running Shoes
2025-08-03,STR001,SKU1001,3720,Nike Running Shoes
2025-08-04,STR001,SKU1001,1980,Nike Running Shoes
2025-08-05,STR001,SKU1001,1710,Nike Running Shoes
2025-08-06,STR001,SKU1001,2700,Nike Running Shoes
2025-08-07,STR001,SKU1001,3150,Nike Running Shoes
2025-08-08,STR001,SKU1001,2340,Nike Running Shoes
2025-08-09,STR001,SKU1001,2760,Nike Running Shoes
2025-08-10,STR001,SKU1001,330,Nike Running Shoes
2025-08-11,STR001,SKU1001,1710,Nike Running Shoes
2025-08-12,STR001,SKU1001,1890,Nike Running Shoes
2025-08-13,STR001,SKU1001,1620,Nike Running Shoes
2025-08-14,STR001,SKU1001,2160,Nike Running Shoes
2025-08-15,STR001,SKU1001,1560,Nike Running Shoes
2025-08-16,STR001,SKU1001,2430,Nike Running Shoes
2025-08-17,STR001,SKU1001,1890,Nike Running Shoes
2025-08-18,STR001,SKU1001,1620,Nike Running Shoes
2025-08-19,STR001,SKU1001,3510,Nike Running Shoes
2025-08-20,STR001,SKU1001,1560,Nike Running Shoes
2025-08-21,STR001,SKU1001,2100,Nike Running Shoes
2025-08-22,STR001,SKU1001,180,Nike Running Shoes
2025-08-23,STR001,SKU1001,1950,Nike Running Shoes
2025-08-24,STR001,SKU1001,3690,Nike Running Shoes
2025-08-25,STR001,SKU1001,1590,Nike Running Shoes
2025-07-01,STR001,SKU1002,1350,Coffee Mug
2025-07-02,STR001,SKU1002,720,Coffee Mug
2025-07-03,STR001,SKU1002,840,Coffee Mug
2025-07-04,STR001,SKU1002,870,Coffee Mug
2025-07-05,STR001,SKU1002,1680,Coffee Mug
2025-07-06,STR001,SKU1002,1440,Coffee Mug
2025-07-07,STR001,SKU1002,1140,Coffee Mug
2025-07-08,STR001,SKU1002,1110,Coffee Mug
2025-07-09,STR001,SKU1002,780,Coffee Mug
2025-07-10,STR001,SKU1002,990,Coffee Mug
2025-07-11,STR001,SKU1002,60,Coffee Mug
2025-07-12,STR001,SKU1002,570,Coffee Mug
2025-07-13,STR001,SKU1002,1350,Coffee Mug
2025-07-14,STR001,SKU1002,1110,Coffee Mug
2025-07-15,STR001,SKU1002,1230,Coffee Mug
2025-07-16,STR001,SKU1002,1440,Coffee Mug
2025-07-17,STR001,SKU1002,810,Coffee Mug
2025-07-18,STR001,SKU1002,1410,Coffee Mug
2025-07-19,STR001,SKU1002,1110,Coffee Mug
2025-07-20,STR001,SKU1002,630,Coffee Mug
2025-07-21,STR001,SKU1002,750,Coffee Mug
2025-07-22,STR001,SKU1002,600,Coffee Mug
2025-07-23,STR001,SKU1002,1170,Coffee Mug
2025-07-24,STR001,SKU1002,540,Coffee Mug
2025-07-25,STR001,SKU1002,720,Coffee Mug
2025-07-26,STR001,SKU1002,1140,Coffee Mug
2025-07-27,STR001,SKU1002,1290,Coffee Mug
2025-07-28,STR001,SKU1002,1320,Coffee Mug
2025-07-29,STR001,SKU1002,1200,Coffee Mug
2025-07-30,STR001,SKU1002,1140,Coffee Mug
2025-07-31,STR001,SKU1002,1380,Coffee Mug
2025-08-01,STR001,SKU1002,720,Coffee Mug
2025-08-02,STR001,SKU1002,990,Coffee Mug
2025-08-03,STR001,SKU1002,1110,Coffee Mug
2025-08-04,STR001,SKU1002,1320,Coffee Mug
2025-08-05,STR001,SKU1002,900,Coffee Mug
2025-08-06,STR001,SKU1002,930,Coffee Mug
2025-08-07,STR001,SKU1002,1080,Coffee Mug
2025-08-08,STR001,SKU1002,810,Coffee Mug
2025-08-09,STR001,SKU1002,840,Coffee Mug
2025-08-10,STR001,SKU1002,660,Coffee Mug
2025-08-11,STR001,SKU1002,0,Coffee Mug
2025-08-12,STR001,SKU1002,870,Coffee Mug
2025-08-13,STR001,SKU1002,900,Coffee Mug
2025-08-14,STR001,SKU1002,1290,Coffee Mug
2025-08-15,STR001,SKU1002,990,Coffee Mug
2025-08-16,STR001,SKU1002,600,Coffee Mug
2025-08-17,STR001,SKU1002,1290,Coffee Mug
2025-08-18,STR001,SKU1002,420,Coffee Mug
2025-08-19,STR001,SKU1002,960,Coffee Mug
2025-08-20,STR001,SKU1002,1110,Coffee Mug
2025-08-21,STR001,SKU1002,540,Coffee Mug
2025-08-22,STR001,SKU1002,750,Coffee Mug
2025-08-23,STR001,SKU1002,810,Coffee Mug
2025-08-24,STR001,SKU1002,690,Coffee Mug
2025-08-25,STR001,SKU1002,810,Coffee Mug
2025-07-01,STR002,SKU1001,2400,Nike Running Shoes
2025-07-02,STR002,SKU1001,2370,Nike Running Shoes
2025-07-03,STR002,SKU1001,3540,Nike Running Shoes
2025-07-04,STR002,SKU1001,2130,Nike Running Shoes
2025-07-05,STR002,SKU1001,1890,Nike Running Shoes
2025-07-06,STR002,SKU1001,3990,Nike Running Shoes
2025-07-07,STR002,SKU1001,1860,Nike Running Shoes
2025-07-08,STR002,SKU1001,2910,Nike Running Shoes
2025-07-09,STR002,SKU1001,2640,Nike Running Shoes
2025-07-10,STR002,SKU1001,2850,Nike Running Shoes
2025-07-11,STR002,SKU1001,1440,Nike Running Shoes
2025-07-12,STR002,SKU1001,2460,Nike Running Shoes
2025-07-13,STR002,SKU1001,1860,Nike Running Shoes
2025-07-14,STR002,SKU1001,1980,Nike Running Shoes
2025-07-15,STR002,SKU1001,1620,Nike Running Shoes
2025-07-16,STR002,SKU1001,2460,Nike Running Shoes
2025-07-17,STR002,SKU1001,3510,Nike Running Shoes
2025-07-18,STR002,SKU1001,2580,Nike Running Shoes
2025-07-19,STR002,SKU1001,3570,Nike Running Shoes
2025-07-20,STR002,SKU1001,3000,Nike Running Shoes
2025-07-21,STR002,SKU1001,3150,Nike Running Shoes
2025-07-22,STR002,SKU1001,2340,Nike Running Shoes
2025-07-23,STR002,SKU1001,3690,Nike Running Shoes
2025-07-24,STR002,SKU1001,2610,Nike Running Shoes
2025-07-25,STR002,SKU1001,2490,Nike Running Shoes
2025-07-26,STR002,SKU1001,1770,Nike Running Shoes
2025-07-27,STR002,SKU1001,2940,Nike Running Shoes
2025-07-28,STR002,SKU1001,4320,Nike Running Shoes
2025-07-29,STR002,SKU1001,990,Nike Running Shoes
2025-07-30,STR002,SKU1001,2820,Nike Running Shoes
