snapshot_date,store_code,sku,qty,product_name
2025-07-01,STR001,SKU1001,311,Alpine Spring Water 1L
2025-07-01,STR001,SKU1002,296,CrispLite Potato Chips
2025-07-01,STR001,SKU1003,303,FreshBrew Coffee 250g
2025-07-01,STR001,SKU1004,398,GlowSkin Face Wash 100ml
2025-07-01,STR001,SKU1005,310,PureClean Detergent 1kg
2025-07-01,STR002,SKU1001,274,Alpine Spring Water 1L
2025-07-01,STR002,SKU1002,297,CrispLite Potato Chips
2025-07-01,STR002,SKU1003,296,FreshBrew Coffee 250g
2025-07-01,STR002,SKU1004,343,GlowSkin Face Wash 100ml
2025-07-01,STR002,SKU1005,359,PureClean Detergent 1kg
2025-07-01,STR003,SKU1001,214,Alpine Spring Water 1L
2025-07-01,STR003,SKU1002,352,CrispLite Potato Chips
2025-07-01,STR003,SKU1003,339,FreshBrew Coffee 250g
2025-07-01,STR003,SKU1004,361,GlowSkin Face Wash 100ml
2025-07-01,STR003,SKU1005,268,PureClean Detergent 1kg
2025-07-01,STR004,SKU1001,1387,Alpine Spring Water 1L
2025-07-01,STR004,SKU1002,1804,CrispLite Potato Chips
2025-07-01,STR004,SKU1003,1432,FreshBrew Coffee 250g
2025-07-01,STR004,SKU1004,1579,GlowSkin Face Wash 100ml
2025-07-01,STR004,SKU1005,1562,PureClean Detergent 1kg
2025-07-01,STR005,SKU1001,1889,Alpine Spring Water 1L
2025-07-01,STR005,SKU1002,1278,CrispLite Potato Chips
2025-07-01,STR005,SKU1003,1775,FreshBrew Coffee 250g
2025-07-01,STR005,SKU1004,1569,GlowSkin Face Wash 100ml
2025-07-01,STR005,SKU1005,1709,PureClean Detergent 1kg
2025-07-01,STR006,SKU1001,781,Alpine Spring Water 1L
2025-07-01,STR006,SKU1002,772,CrispLite Potato Chips
2025-07-01,STR006,SKU1003,552,FreshBrew Coffee 250g
2025-07-01,STR006,SKU1004,643,GlowSkin Face Wash 100ml
2025-07-01,STR006,SKU1005,935,PureClean Detergent 1kg
2025-07-01,STR007,SKU1001,788,Alpine Spring Water 1L
2025-07-01,STR007,SKU1002,709,CrispLite Potato Chips
2025-07-01,STR007,SKU1003,857,FreshBrew Coffee 250g
2025-07-01,STR007,SKU1004,928,GlowSkin Face Wash 100ml
2025-07-01,STR007,SKU1005,610,PureClean Detergent 1kg
2025-07-01,STR008,SKU1001,769,Alpine Spring Water 1L
2025-07-01,STR008,SKU1002,571,CrispLite Potato Chips
2025-07-01,STR008,SKU1003,575,FreshBrew Coffee 250g
2025-07-01,STR008,SKU1004,512,GlowSkin Face Wash 100ml
2025-07-01,STR008,SKU1005,466,PureClean Detergent 1kg
