snapshot_date,store_code,sku,qty,product_name
2025-11-01,STR001,SKU1001,311,Alpine Spring Water 1L
2025-11-01,STR001,SKU1002,296,CrispLite Potato Chips
2025-11-01,STR001,SKU1003,303,FreshBrew Coffee 250g
2025-11-01,STR001,SKU1004,398,GlowSkin Face Wash 100ml
2025-11-01,STR001,SKU1005,310,PureClean Detergent 1kg
2025-11-01,STR002,SKU1001,274,Alpine Spring Water 1L
2025-11-01,STR002,SKU1002,297,CrispLite Potato Chips
2025-11-01,STR002,SKU1003,296,FreshBrew Coffee 250g
2025-11-01,STR002,SKU1004,343,GlowSkin Face Wash 100ml
2025-11-01,STR002,SKU1005,359,PureClean Detergent 1kg
2025-11-01,STR003,SKU1001,214,Alpine Spring Water 1L
2025-11-01,STR003,SKU1002,352,CrispLite Potato Chips
2025-11-01,STR003,SKU1003,339,FreshBrew Coffee 250g
2025-11-01,STR003,SKU1004,361,GlowSkin Face Wash 100ml
2025-11-01,STR003,SKU1005,268,PureClean Detergent 1kg
2025-11-01,STR004,SKU1001,1387,Alpine Spring Water 1L
2025-11-01,STR004,SKU1002,1804,CrispLite Potato Chips
2025-11-01,STR004,SKU1003,1432,FreshBrew Coffee 250g
2025-11-01,STR004,SKU1004,1579,GlowSkin Face Wash 100ml
2025-11-01,STR004,SKU1005,1562,PureClean Detergent 1kg
2025-11-01,STR005,SKU1001,1889,Alpine Spring Water 1L
2025-11-01,STR005,SKU1002,1278,CrispLite Potato Chips
2025-11-01,STR005,SKU1003,1775,FreshBrew Coffee 250g
2025-11-01,STR005,SKU1004,1569,GlowSkin Face Wash 100ml
2025-11-01,STR005,SKU1005,1709,PureClean Detergent 1kg
2025-11-01,STR006,SKU1001,781,Alpine Spring Water 1L
2025-11-01,STR006,SKU1002,772,CrispLite Potato Chips
2025-11-01,STR006,SKU1003,552,FreshBrew Coffee 250g
2025-11-01,STR006,SKU1004,643,GlowSkin Face Wash 100ml
2025-11-01,STR006,SKU1005,935,PureClean Detergent 1kg
2025-11-01,STR007,SKU1001,788,Alpine Spring Water 1L
2025-11-01,STR007,SKU1002,709,CrispLite Potato Chips
2025-11-01,STR007,SKU1003,857,FreshBrew Coffee 250g
2025-11-01,STR007,SKU1004,928,GlowSkin Face Wash 100ml
2025-11-01,STR007,SKU1005,610,PureClean Detergent 1kg
2025-11-01,STR008,SKU1001,769,Alpine Spring Water 1L
2025-11-01,STR008,SKU1002,571,CrispLite Potato Chips
2025-11-01,STR008,SKU1003,575,FreshBrew Coffee 250g
2025-11-01,STR008,SKU1004,512,GlowSkin Face Wash 100ml
2025-11-01,STR008,SKU1005,466,PureClean Detergent 1kg
2025-11-01,STR009,SKU1001,516,Alpine Spring Water 1L
2025-11-01,STR009,SKU1002,861,CrispLite Potato Chips
2025-11-01,STR009,SKU1003,667,FreshBrew Coffee 250g
2025-11-01,STR009,SKU1004,720,GlowSkin Face Wash 100ml
2025-11-01,STR009,SKU1005,694,PureClean Detergent 1kg
2025-11-01,STR010,SKU1001,823,Alpine Spring Water 1L
2025-11-01,STR010,SKU1002,777,CrispLite Potato Chips
2025-11-01,STR010,SKU1003,735,FreshBrew Coffee 250g
2025-11-01,STR010,SKU1004,839,GlowSkin Face Wash 100ml
2025-11-01,STR010,SKU1005,748,PureClean Detergent 1kg
2025-11-02,STR001,SKU1001,320,Alpine Spring Water 1L
2025-11-02,STR001,SKU1002,237,CrispLite Potato Chips
2025-11-02,STR001,SKU1003,389,FreshBrew Coffee 250g
2025-11-02,STR001,SKU1004,244,GlowSkin Face Wash 100ml
2025-11-02,STR001,SKU1005,234,PureClean Detergent 1kg
2025-11-02,STR002,SKU1001,284,Alpine Spring Water 1L
2025-11-02,STR002,SKU1002,221,CrispLite Potato Chips
2025-11-02,STR002,SKU1003,329,FreshBrew Coffee 250g
2025-11-02,STR002,SKU1004,348,GlowSkin Face Wash 100ml
2025-11-02,STR002,SKU1005,262,PureClean Detergent 1kg
2025-11-02,STR003,SKU1001,277,Alpine Spring Water 1L
2025-11-02,STR003,SKU1002,354,CrispLite Potato Chips
2025-11-02,STR003,SKU1003,226,FreshBrew Coffee 250g
2025-11-02,STR003,SKU1004,236,GlowSkin Face Wash 100ml
2025-11-02,STR003,SKU1005,272,PureClean Detergent 1kg
2025-11-02,STR004,SKU1001,1861,Alpine Spring Water 1L
2025-11-02,STR004,SKU1002,1193,CrispLite Potato Chips
2025-11-02,STR004,SKU1003,1367,FreshBrew Coffee 250g
2025-11-02,STR004,SKU1004,1663,GlowSkin Face Wash 100ml
2025-11-02,STR004,SKU1005,1169,PureClean Detergent 1kg
2025-11-02,STR005,SKU1001,1984,Alpine Spring Water 1L
2025-11-02,STR005,SKU1002,1920,CrispLite Potato Chips
2025-11-02,STR005,SKU1003,2086,FreshBrew Coffee 250g
2025-11-02,STR005,SKU1004,1686,GlowSkin Face Wash 100ml
2025-11-02,STR005,SKU1005,1491,PureClean Detergent 1kg
2025-11-02,STR006,SKU1001,720,Alpine Spring Water 1L
2025-11-02,STR006,SKU1002,690,CrispLite Potato Chips
2025-11-02,STR006,SKU1003,844,FreshBrew Coffee 250g
2025-11-02,STR006,SKU1004,930,GlowSkin Face Wash 100ml
2025-11-02,STR006,SKU1005,563,PureClean Detergent 1kg
2025-11-02,STR007,SKU1001,577,Alpine Spring Water 1L
2025-11-02,STR007,SKU1002,700,CrispLite Potato Chips
2025-11-02,STR007,SKU1003,862,FreshBrew Coffee 250g
2025-11-02,STR007,SKU1004,558,GlowSkin Face Wash 100ml
2025-11-02,STR007,SKU1005,703,PureClean Detergent 1kg
2025-11-02,STR008,SKU1001,704,Alpine Spring Water 1L
2025-11-02,STR008,SKU1002,658,CrispLite Potato Chips
2025-11-02,STR008,SKU1003,507,FreshBrew Coffee 250g
2025-11-02,STR008,SKU1004,689,GlowSkin Face Wash 100ml
2025-11-02,STR008,SKU1005,731,PureClean Detergent 1kg
2025-11-02,STR009,SKU1001,808,Alpine Spring Water 1L
2025-11-02,STR009,SKU1002,673,CrispLite Potato Chips
