snapshot_date,store_code,sku,qty,product_name
2025-08-26,STR001,SKU1001,39,Nike Running Shoes
2025-08-27,STR001,SKU1001,48,Nike Running Shoes
2025-08-28,STR001,SKU1001,49,Nike Running Shoes
2025-08-29,STR001,SKU1001,2,Nike Running Shoes
2025-08-30,STR001,SKU1001,79,Nike Running Shoes
2025-08-31,STR001,SKU1001,60,Nike Running Shoes
2025-09-01,STR001,SKU1001,52,Nike Running Shoes
2025-09-02,STR001,SKU1001,54,Nike Running Shoes
2025-09-03,STR001,SKU1001,127,Nike Running Shoes
2025-08-26,STR001,SKU1002,27,Coffee Mug
2025-08-27,STR001,SKU1002,5,Coffee Mug
2025-08-28,STR001,SKU1002,30,Coffee Mug
2025-08-29,STR001,SKU1002,17,Coffee Mug
2025-08-30,STR001,SKU1002,51,Coffee Mug
2025-08-31,STR001,SKU1002,40,Coffee Mug
2025-09-01,STR001,SKU1002,36,Coffee Mug
2025-09-02,STR001,SKU1002,39,Coffee Mug
2025-09-03,STR001,SKU1002,23,Coffee Mug
2025-08-26,STR002,SKU1001,87,Nike Running Shoes
2025-08-27,STR002,SKU1001,120,Nike Running Shoes
2025-08-28,STR002,SKU1001,53,Nike Running Shoes
2025-08-29,STR002,SKU1001,43,Nike Running Shoes
2025-08-30,STR002,SKU1001,0,Nike Running Shoes
2025-08-31,STR002,SKU1001,5,Nike Running Shoes
2025-09-01,STR002,SKU1001,60,Nike Running Shoes
2025-09-02,STR002,SKU1001,109,Nike Running Shoes
2025-09-03,STR002,SKU1001,0,Nike Running Shoes
2025-08-26,STR002,SKU1002,46,Coffee Mug
2025-08-27,STR002,SKU1002,38,Coffee Mug
2025-08-28,STR002,SKU1002,45,Coffee Mug
2025-08-29,STR002,SKU1002,21,Coffee Mug
2025-08-30,STR002,SKU1002,31,Coffee Mug
2025-08-31,STR002,SKU1002,42,Coffee Mug
2025-09-01,STR002,SKU1002,25,Coffee Mug
2025-09-02,STR002,SKU1002,21,Coffee Mug
2025-09-03,STR002,SKU1002,23,Coffee Mug
2025-08-26,STR003,SKU1001,105,Nike Running Shoes
2025-08-27,STR003,SKU1001,61,Nike Running Shoes
2025-08-28,STR003,SKU1001,54,Nike Running Shoes
2025-08-29,STR003,SKU1001,50,Nike Running Shoes
2025-08-30,STR003,SKU1001,38,Nike Running Shoes
2025-08-31,STR003,SKU1001,87,Nike Running Shoes
2025-09-01,STR003,SKU1001,73,Nike Running Shoes
2025-09-02,STR003,SKU1001,6,Nike Running Shoes
2025-09-03,STR003,SKU1001,83,Nike Running Shoes
2025-08-26,STR003,SKU1002,30,Coffee Mug
2025-08-27,STR003,SKU1002,47,Coffee Mug
2025-08-28,STR003,SKU1002,24,Coffee Mug
2025-08-29,STR003,SKU1002,51,Coffee Mug
2025-08-30,STR003,SKU1002,46,Coffee Mug
2025-08-31,STR003,SKU1002,2,Coffee Mug
2025-09-01,STR003,SKU1002,53,Coffee Mug
2025-09-02,STR003,SKU1002,28,Coffee Mug
2025-09-03,STR003,SKU1002,200,Coffee Mug
