snapshot_date,store_code,sku,qty,product_name
2025-07-01,STR001,SKU1001,120,running shoes
2025-07-01,STR001,SKU1002,75,coffee mug
2025-07-01,STR002,SKU1001,0,running shoes
2025-07-01,STR002,SKU1002,90,coffee mug
2025-07-01,STR003,SKU1001,30,running shoes
2025-07-01,STR003,SKU1002,45,coffee mug
2025-07-02,STR001,SKU1001,120,running shoes
2025-07-02,STR001,SKU1002,75,coffee mug
2025-07-02,STR002,SKU1001,0,running shoes
2025-07-02,STR002,SKU1002,90,coffee mug
2025-07-02,STR003,SKU1001,30,running shoes
2025-07-02,STR003,SKU1002,45,coffee mug
2025-07-03,STR001,SKU1001,120,running shoes
2025-07-03,STR001,SKU1002,75,coffee mug
2025-07-03,STR002,SKU1001,0,running shoes
2025-07-03,STR002,SKU1002,90,coffee mug
2025-07-03,STR003,SKU1001,30,running shoes
2025-07-03,STR003,SKU1002,45,coffee mug
2025-07-04,STR001,SKU1001,120,running shoes
2025-07-04,STR001,SKU1002,75,coffee mug
2025-07-04,STR002,SKU1001,0,running shoes
2025-07-04,STR002,SKU1002,90,coffee mug
2025-07-04,STR003,SKU1001,30,running shoes
2025-07-04,STR003,SKU1002,45,coffee mug
2025-07-05,STR001,SKU1001,120,running shoes
2025-07-05,STR001,SKU1002,75,coffee mug
2025-07-05,STR002,SKU1001,0,running shoes
2025-07-05,STR002,SKU1002,90,coffee mug
2025-07-05,STR003,SKU1001,30,running shoes
2025-07-05,STR003,SKU1002,45,coffee mug
2025-07-06,STR001,SKU1001,120,running shoes
2025-07-06,STR001,SKU1002,75,coffee mug
2025-07-06,STR002,SKU1001,0,running shoes
2025-07-06,STR002,SKU1002,90,coffee mug
2025-07-06,STR003,SKU1001,30,running shoes
2025-07-06,STR003,SKU1002,45,coffee mug
2025-07-07,STR001,SKU1001,120,running shoes
2025-07-07,STR001,SKU1002,75,coffee mug
2025-07-07,STR002,SKU1001,0,running shoes
2025-07-07,STR002,SKU1002,90,coffee mug
2025-07-07,STR003,SKU1001,30,running shoes
2025-07-07,STR003,SKU1002,45,coffee mug
2025-07-08,STR001,SKU1001,120,running shoes
2025-07-08,STR001,SKU1002,75,coffee mug
2025-07-08,STR002,SKU1001,0,running shoes
2025-07-08,STR002,SKU1002,90,coffee mug
2025-07-08,STR003,SKU1001,30,running shoes
2025-07-08,STR003,SKU1002,45,coffee mug
2025-07-09,STR001,SKU1001,120,running shoes
2025-07-09,STR001,SKU1002,75,coffee mug
2025-07-09,STR002,SKU1001,0,running shoes
2025-07-09,STR002,SKU1002,90,coffee mug
2025-07-09,STR003,SKU1001,30,running shoes
2025-07-09,STR003,SKU1002,45,coffee mug
2025-07-10,STR001,SKU1001,120,running shoes
2025-07-10,STR001,SKU1002,75,coffee mug
2025-07-10,STR002,SKU1001,0,running shoes
2025-07-10,STR002,SKU1002,90,coffee mug
2025-07-10,STR003,SKU1001,30,running shoes
2025-07-10,STR003,SKU1002,45,coffee mug
2025-07-11,STR001,SKU1001,120,running shoes
2025-07-11,STR001,SKU1002,75,coffee mug
2025-07-11,STR002,SKU1001,0,running shoes
2025-07-11,STR002,SKU1002,90,coffee mug
2025-07-11,STR003,SKU1001,30,running shoes
2025-07-11,STR003,SKU1002,45,coffee mug
2025-07-12,STR001,SKU1001,120,running shoes
2025-07-12,STR001,SKU1002,75,coffee mug
2025-07-12,STR002,SKU1001,0,running shoes
2025-07-12,STR002,SKU1002,90,coffee mug
2025-07-12,STR003,SKU1001,30,running shoes
2025-07-12,STR003,SKU1002,45,coffee mug
2025-07-13,STR001,SKU1001,120,running shoes
2025-07-13,STR001,SKU1002,75,coffee mug
2025-07-13,STR002,SKU1001,0,running shoes
2025-07-13,STR002,SKU1002,90,coffee mug
2025-07-13,STR003,SKU1001,30,running shoes
2025-07-13,STR003,SKU1002,45,coffee mug
2025-07-14,STR001,SKU1001,120,running shoes
2025-07-14,STR001,SKU1002,75,coffee mug
2025-07-14,STR002,SKU1001,0,running shoes
2025-07-14,STR002,SKU1002,90,coffee mug
2025-07-14,STR003,SKU1001,30,running shoes
2025-07-14,STR003,SKU1002,45,coffee mug
2025-07-15,STR001,SKU1001,120,running shoes
2025-07-15,STR001,SKU1002,75,coffee mug
2025-07-15,STR002,SKU1001,0,running shoes
2025-07-15,STR002,SKU1002,90,coffee mug
2025-07-15,STR003,SKU1001,30,running shoes
2025-07-15,STR003,SKU1002,45,coffee mug
2025-07-16,STR001,SKU1001,120,running shoes
2025-07-16,STR001,SKU1002,75,coffee mug
2025-07-16,STR002,SKU1001,0,running shoes
2025-07-16,STR002,SKU1002,90,coffee mug
2025-07-16,STR003,SKU1001,30,running shoes
2025-07-16,STR003,SKU1002,45,coffee mug
2025-07-17,STR001,SKU1001,120,running shoes
2025-07-17,STR001,SKU1002,75,coffee mug
2025-07-17,STR002,SKU1001,0,running shoes
2025-07-17,STR002,SKU1002,90,coffee mug
2025-07-17,STR003,SKU1001,30,running shoes
2025-07-17,STR003,SKU1002,45,coffee mug
2025-07-18,STR001,SKU1001,120,running shoes
2025-07-18,STR001,SKU1002,75,coffee mug
2025-07-18,STR002,SKU1001,0,running shoes
2025-07-18,STR002,SKU1002,90,coffee mug
2025-07-18,STR003,SKU1001,30,running shoes
2025-07-18,STR003,SKU1002,45,coffee mug
2025-07-19,STR001,SKU1001,120,running shoes
2025-07-19,STR001,SKU1002,75,coffee mug
2025-07-19,STR002,SKU1001,0,running shoes
2025-07-19,STR002,SKU1002,90,coffee mug
2025-07-19,STR003,SKU1001,30,running shoes
2025-07-19,STR003,SKU1002,45,coffee mug
2025-07-20,STR001,SKU1001,120,running shoes
2025-07-20,STR001,SKU1002,75,coffee mug
2025-07-20,STR002,SKU1001,0,running shoes
2025-07-20,STR002,SKU1002,90,coffee mug
2025-07-20,STR003,SKU1001,30,running shoes
2025-07-20,STR003,SKU1002,45,coffee mug
2025-07-21,STR001,SKU1001,120,running shoes
2025-07-21,STR001,SKU1002,75,coffee mug
2025-07-21,STR002,SKU1001,0,running shoes
2025-07-21,STR002,SKU1002,90,coffee mug
2025-07-21,STR003,SKU1001,30,running shoes
2025-07-21,STR003,SKU1002,45,coffee mug
2025-07-22,STR001,SKU1001,120,running shoes
