snapshot_date,store_code,sku,qty,product_name
2025-07-01,STR001,SKU1001,0,Nike Running Shoes
2025-07-01,STR001,SKU1002,130,Coffee Mug
2025-07-01,STR002,SKU1001,240,Nike Running Shoes
2025-07-01,STR002,SKU1002,0,Coffee Mug
2025-07-01,STR003,SKU1001,140,Nike Running Shoes
2025-07-01,STR003,SKU1002,150,Coffee Mug
2025-07-02,STR001,SKU1001,0,Nike Running Shoes
2025-07-02,STR001,SKU1002,70,Coffee Mug
2025-07-02,STR002,SKU1001,230,Nike Running Shoes
2025-07-02,STR002,SKU1002,0,Coffee Mug
2025-07-02,STR003,SKU1001,70,Nike Running Shoes
2025-07-02,STR003,SKU1002,140,Coffee Mug
2025-07-03,STR001,SKU1001,0,Nike Running Shoes
2025-07-03,STR001,SKU1002,80,Coffee Mug
2025-07-03,STR002,SKU1001,350,Nike Running Shoes
2025-07-03,STR002,SKU1002,0,Coffee Mug
2025-07-03,STR003,SKU1001,200,Nike Running Shoes
2025-07-03,STR003,SKU1002,130,Coffee Mug
2025-07-04,STR001,SKU1001,0,Nike Running Shoes
2025-07-04,STR001,SKU1002,80,Coffee Mug
2025-07-04,STR002,SKU1001,210,Nike Running Shoes
2025-07-04,STR002,SKU1002,0,Coffee Mug
2025-07-04,STR003,SKU1001,190,Nike Running Shoes
2025-07-04,STR003,SKU1002,150,Coffee Mug
2025-07-05,STR001,SKU1001,0,Nike Running Shoes
2025-07-05,STR001,SKU1002,160,Coffee Mug
2025-07-05,STR002,SKU1001,180,Nike Running Shoes
2025-07-05,STR002,SKU1002,0,Coffee Mug
2025-07-05,STR003,SKU1001,270,Nike Running Shoes
2025-07-05,STR003,SKU1002,150,Coffee Mug
2025-07-06,STR001,SKU1001,0,Nike Running Shoes
2025-07-06,STR001,SKU1002,140,Coffee Mug
2025-07-06,STR002,SKU1001,390,Nike Running Shoes
2025-07-06,STR002,SKU1002,0,Coffee Mug
2025-07-06,STR003,SKU1001,370,Nike Running Shoes
2025-07-06,STR003,SKU1002,110,Coffee Mug
2025-07-07,STR001,SKU1001,0,Nike Running Shoes
2025-07-07,STR001,SKU1002,110,Coffee Mug
2025-07-07,STR002,SKU1001,180,Nike Running Shoes
2025-07-07,STR002,SKU1002,0,Coffee Mug
2025-07-07,STR003,SKU1001,110,Nike Running Shoes
2025-07-07,STR003,SKU1002,120,Coffee Mug
2025-07-08,STR001,SKU1001,0,Nike Running Shoes
2025-07-08,STR001,SKU1002,110,Coffee Mug
2025-07-08,STR002,SKU1001,290,Nike Running Shoes
2025-07-08,STR002,SKU1002,0,Coffee Mug
2025-07-08,STR003,SKU1001,150,Nike Running Shoes
2025-07-08,STR003,SKU1002,90,Coffee Mug
2025-07-09,STR001,SKU1001,0,Nike Running Shoes
2025-07-09,STR001,SKU1002,70,Coffee Mug
2025-07-09,STR002,SKU1001,260,Nike Running Shoes
2025-07-09,STR002,SKU1002,0,Coffee Mug
2025-07-09,STR003,SKU1001,250,Nike Running Shoes
2025-07-09,STR003,SKU1002,90,Coffee Mug
2025-07-10,STR001,SKU1001,0,Nike Running Shoes
2025-07-10,STR001,SKU1002,90,Coffee Mug
2025-07-10,STR002,SKU1001,280,Nike Running Shoes
2025-07-10,STR002,SKU1002,0,Coffee Mug
2025-07-10,STR003,SKU1001,130,Nike Running Shoes
2025-07-10,STR003,SKU1002,120,Coffee Mug
2025-07-11,STR001,SKU1001,0,Nike Running Shoes
2025-07-11,STR001,SKU1002,0,Coffee Mug
2025-07-11,STR002,SKU1001,140,Nike Running Shoes
2025-07-11,STR002,SKU1002,0,Coffee Mug
2025-07-11,STR003,SKU1001,110,Nike Running Shoes
2025-07-11,STR003,SKU1002,110,Coffee Mug
2025-07-12,STR001,SKU1001,0,Nike Running Shoes
2025-07-12,STR001,SKU1002,50,Coffee Mug
2025-07-12,STR002,SKU1001,240,Nike Running Shoes
2025-07-12,STR002,SKU1002,0,Coffee Mug
2025-07-12,STR003,SKU1001,150,Nike Running Shoes
2025-07-12,STR003,SKU1002,100,Coffee Mug
2025-07-13,STR001,SKU1001,0,Nike Running Shoes
2025-07-13,STR001,SKU1002,130,Coffee Mug
2025-07-13,STR002,SKU1001,180,Nike Running Shoes
2025-07-13,STR002,SKU1002,0,Coffee Mug
2025-07-13,STR003,SKU1001,150,Nike Running Shoes
2025-07-13,STR003,SKU1002,130,Coffee Mug
2025-07-14,STR001,SKU1001,0,Nike Running Shoes
2025-07-14,STR001,SKU1002,110,Coffee Mug
2025-07-14,STR002,SKU1001,190,Nike Running Shoes
2025-07-14,STR002,SKU1002,0,Coffee Mug
2025-07-14,STR003,SKU1001,240,Nike Running Shoes
2025-07-14,STR003,SKU1002,70,Coffee Mug
2025-07-15,STR001,SKU1001,0,Nike Running Shoes
2025-07-15,STR001,SKU1002,120,Coffee Mug
2025-07-15,STR002,SKU1001,160,Nike Running Shoes
2025-07-15,STR002,SKU1002,0,Coffee Mug
2025-07-15,STR003,SKU1001,180,Nike Running Shoes
2025-07-15,STR003,SKU1002,150,Coffee Mug
2025-07-16,STR001,SKU1001,0,Nike Running Shoes
2025-07-16,STR001,SKU1002,140,Coffee Mug
2025-07-16,STR002,SKU1001,240,Nike Running Shoes
2025-07-16,STR002,SKU1002,0,Coffee Mug
2025-07-16,STR003,SKU1001,250,Nike Running Shoes
2025-07-16,STR003,SKU1002,130,Coffee Mug
2025-07-17,STR001,SKU1001,0,Nike Running Shoes
2025-07-17,STR001,SKU1002,80,Coffee Mug
2025-07-17,STR002,SKU1001,350,Nike Running Shoes
2025-07-17,STR002,SKU1002,0,Coffee Mug
2025-07-17,STR003,SKU1001,220,Nike Running Shoes
2025-07-17,STR003,SKU1002,90,Coffee Mug
2025-07-18,STR001,SKU1001,0,Nike Running Shoes
2025-07-18,STR001,SKU1002,140,Coffee Mug
2025-07-18,STR002,SKU1001,250,Nike Running Shoes
2025-07-18,STR002,SKU1002,0,Coffee Mug
2025-07-18,STR003,SKU1001,160,Nike Running Shoes
2025-07-18,STR003,SKU1002,70,Coffee Mug
2025-07-19,STR001,SKU1001,0,Nike Running Shoes
2025-07-19,STR001,SKU1002,110,Coffee Mug
2025-07-19,STR002,SKU1001,350,Nike Running Shoes
2025-07-19,STR002,SKU1002,0,Coffee Mug
2025-07-19,STR003,SKU1001,110,Nike Running Shoes
2025-07-19,STR003,SKU1002,110,Coffee Mug
2025-07-20,STR001,SKU1001,0,Nike Running Shoes
2025-07-20,STR001,SKU1002,60,Coffee Mug
2025-07-20,STR002,SKU1001,300,Nike Running Shoes
2025-07-20,STR002,SKU1002,0,Coffee Mug
2025-07-20,STR003,SKU1001,180,Nike Running Shoes
2025-07-20,STR003,SKU1002,80,Coffee Mug
2025-07-21,STR001,SKU1001,0,Nike Running Shoes
2025-07-21,STR001,SKU1002,70,Coffee Mug
2025-07-21,STR002,SKU1001,310,Nike Running Shoes
2025-07-21,STR002,SKU1002,0,Coffee Mug
2025-07-21,STR003,SKU1001,210,Nike Running Shoes
2025-07-21,STR003,SKU1002,80,Coffee Mug
2025-07-22,STR001,SKU1001,0,Nike Running Shoes
2025-07-22,STR001,SKU1002,60,Coffee Mug
2025-07-22,STR002,SKU1001,230,Nike Running Shoes
2025-07-22,STR002,SKU1002,0,Coffee Mug
2025-07-22,STR003,SKU1001,240,Nike Running Shoes
2025-07-22,STR003,SKU1002,190,Coffee Mug
2025-07-23,STR001,SKU1001,0,Nike Running Shoes
2025-07-23,STR001,SKU1002,110,Coffee Mug
2025-07-23,STR002,SKU1001,360,Nike Running Shoes
2025-07-23,STR002,SKU1002,0,Coffee Mug
2025-07-23,STR003,SKU1001,330,Nike Running Shoes
2025-07-23,STR003,SKU1002,170,Coffee Mug
2025-07-24,STR001,SKU1001,0,Nike Running Shoes
2025-07-24,STR001,SKU1002,50,Coffee Mug
2025-07-24,STR002,SKU1001,260,Nike Running Shoes
2025-07-24,STR002,SKU1002,0,Coffee Mug
2025-07-24,STR003,SKU1001,210,Nike Running Shoes
2025-07-24,STR003,SKU1002,150,Coffee Mug
2025-07-25,STR001,SKU1001,0,Nike Running Shoes
2025-07-25,STR001,SKU1002,70,Coffee Mug
2025-07-25,STR002,SKU1001,240,Nike Running Shoes
2025-07-25,STR002,SKU1002,0,Coffee Mug
2025-07-25,STR003,SKU1001,270,Nike Running Shoes
2025-07-25,STR003,SKU1002,90,Coffee Mug
2025-07-26,STR001,SKU1001,0,Nike Running Shoes
2025-07-26,STR001,SKU1002,110,Coffee Mug
2025-07-26,STR002,SKU1001,170,Nike Running Shoes
2025-07-26,STR002,SKU1002,0,Coffee Mug
2025-07-26,STR003,SKU1001,210,Nike Running Shoes
2025-07-26,STR003,SKU1002,160,Coffee Mug
2025-07-27,STR001,SKU1001,0,Nike Running Shoes
2025-07-27,STR001,SKU1002,120,Coffee Mug
2025-07-27,STR002,SKU1001,290,Nike Running Shoes
2025-07-27,STR002,SKU1002,0,Coffee Mug
2025-07-27,STR003,SKU1001,160,Nike Running Shoes
2025-07-27,STR003,SKU1002,40,Coffee Mug
2025-07-28,STR001,SKU1001,0,Nike Running Shoes
2025-07-28,STR001,SKU1002,130,Coffee Mug
2025-07-28,STR002,SKU1001,430,Nike Running Shoes
2025-07-28,STR002,SKU1002,0,Coffee Mug
2025-07-28,STR003,SKU1001,150,Nike Running Shoes
2025-07-28,STR003,SKU1002,170,Coffee Mug
2025-07-29,STR001,SKU1001,0,Nike Running Shoes
2025-07-29,STR001,SKU1002,120,Coffee Mug
2025-07-29,STR002,SKU1001,90,Nike Running Shoes
2025-07-29,STR002,SKU1002,0,Coffee Mug
2025-07-29,STR003,SKU1001,200,Nike Running Shoes
2025-07-29,STR003,SKU1002,120,Coffee Mug
2025-07-30,STR001,SKU1001,0,Nike Running Shoes
2025-07-30,STR001,SKU1002,110,Coffee Mug
2025-07-30,STR002,SKU1001,280,Nike Running Shoes
2025-07-30,STR002,SKU1002,0,Coffee Mug
2025-07-30,STR003,SKU1001,220,Nike Running Shoes
2025-07-30,STR003,SKU1002,100,Coffee Mug
2025-07-31,STR001,SKU1001,0,Nike Running Shoes
2025-07-31,STR001,SKU1002,130,Coffee Mug
2025-07-31,STR002,SKU1001,290,Nike Running Shoes
2025-07-31,STR002,SKU1002,0,Coffee Mug
2025-07-31,STR003,SKU1001,250,Nike Running Shoes
2025-07-31,STR003,SKU1002,120,Coffee Mug
2025-08-01,STR001,SKU1001,0,Nike Running Shoes
2025-08-01,STR001,SKU1002,70,Coffee Mug
2025-08-01,STR002,SKU1001,340,Nike Running Shoes
2025-08-01,STR002,SKU1002,0,Coffee Mug
2025-08-01,STR003,SKU1001,210,Nike Running Shoes
2025-08-01,STR003,SKU1002,70,Coffee Mug
2025-08-02,STR001,SKU1001,0,Nike Running Shoes
2025-08-02,STR001,SKU1002,90,Coffee Mug
2025-08-02,STR002,SKU1001,110,Nike Running Shoes
2025-08-02,STR002,SKU1002,0,Coffee Mug
2025-08-02,STR003,SKU1001,170,Nike Running Shoes
2025-08-02,STR003,SKU1002,80,Coffee Mug
2025-08-03,STR001,SKU1001,0,Nike Running Shoes
2025-08-03,STR001,SKU1002,110,Coffee Mug
2025-08-03,STR002,SKU1001,120,Nike Running Shoes
2025-08-03,STR002,SKU1002,0,Coffee Mug
2025-08-03,STR003,SKU1001,180,Nike Running Shoes
2025-08-03,STR003,SKU1002,170,Coffee Mug
2025-08-04,STR001,SKU1001,0,Nike Running Shoes
2025-08-04,STR001,SKU1002,130,Coffee Mug
2025-08-04,STR002,SKU1001,350,Nike Running Shoes
2025-08-04,STR002,SKU1002,0,Coffee Mug
2025-08-04,STR003,SKU1001,120,Nike Running Shoes
2025-08-04,STR003,SKU1002,170,Coffee Mug
2025-08-05,STR001,SKU1001,0,Nike Running Shoes
2025-08-05,STR001,SKU1002,90,Coffee Mug
2025-08-05,STR002,SKU1001,300,Nike Running Shoes
2025-08-05,STR002,SKU1002,0,Coffee Mug
2025-08-05,STR003,SKU1001,20,Nike Running Shoes
2025-08-05,STR003,SKU1002,130,Coffee Mug
2025-08-06,STR001,SKU1001,0,Nike Running Shoes
2025-08-06,STR001,SKU1002,90,Coffee Mug
2025-08-06,STR002,SKU1001,270,Nike Running Shoes
2025-08-06,STR002,SKU1002,0,Coffee Mug
2025-08-06,STR003,SKU1001,120,Nike Running Shoes
2025-08-06,STR003,SKU1002,0,Coffee Mug
2025-08-07,STR001,SKU1001,0,Nike Running Shoes
2025-08-07,STR001,SKU1002,100,Coffee Mug
2025-08-07,STR002,SKU1001,190,Nike Running Shoes
2025-08-07,STR002,SKU1002,0,Coffee Mug
2025-08-07,STR003,SKU1001,240,Nike Running Shoes
2025-08-07,STR003,SKU1002,130,Coffee Mug
2025-08-08,STR001,SKU1001,0,Nike Running Shoes
2025-08-08,STR001,SKU1002,80,Coffee Mug
2025-08-08,STR002,SKU1001,170,Nike Running Shoes
2025-08-08,STR002,SKU1002,0,Coffee Mug
2025-08-08,STR003,SKU1001,250,Nike Running Shoes
2025-08-08,STR003,SKU1002,120,Coffee Mug
2025-08-09,STR001,SKU1001,0,Nike Running Shoes
2025-08-09,STR001,SKU1002,80,Coffee Mug
2025-08-09,STR002,SKU1001,270,Nike Running Shoes
2025-08-09,STR002,SKU1002,0,Coffee Mug
2025-08-09,STR003,SKU1001,260,Nike Running Shoes
2025-08-09,STR003,SKU1002,110,Coffee Mug
2025-08-10,STR001,SKU1001,0,Nike Running Shoes
2025-08-10,STR001,SKU1002,60,Coffee Mug
2025-08-10,STR002,SKU1001,280,Nike Running Shoes
2025-08-10,STR002,SKU1002,0,Coffee Mug
2025-08-10,STR003,SKU1001,130,Nike Running Shoes
2025-08-10,STR003,SKU1002,80,Coffee Mug
2025-08-11,STR001,SKU1001,0,Nike Running Shoes
2025-08-11,STR001,SKU1002,0,Coffee Mug
2025-08-11,STR002,SKU1001,190,Nike Running Shoes
2025-08-11,STR002,SKU1002,0,Coffee Mug
2025-08-11,STR003,SKU1001,110,Nike Running Shoes
2025-08-11,STR003,SKU1002,80,Coffee Mug
2025-08-12,STR001,SKU1001,0,Nike Running Shoes
2025-08-12,STR001,SKU1002,80,Coffee Mug
2025-08-12,STR002,SKU1001,240,Nike Running Shoes
2025-08-12,STR002,SKU1002,0,Coffee Mug
2025-08-12,STR003,SKU1001,190,Nike Running Shoes
2025-08-12,STR003,SKU1002,170,Coffee Mug
2025-08-13,STR001,SKU1001,0,Nike Running Shoes
2025-08-13,STR001,SKU1002,90,Coffee Mug
2025-08-13,STR002,SKU1001,240,Nike Running Shoes
2025-08-13,STR002,SKU1002,0,Coffee Mug
2025-08-13,STR003,SKU1001,260,Nike Running Shoes
2025-08-13,STR003,SKU1002,150,Coffee Mug
2025-08-14,STR001,SKU1001,0,Nike Running Shoes
2025-08-14,STR001,SKU1002,120,Coffee Mug
2025-08-14,STR002,SKU1001,200,Nike Running Shoes
2025-08-14,STR002,SKU1002,0,Coffee Mug
2025-08-14,STR003,SKU1001,160,Nike Running Shoes
2025-08-14,STR003,SKU1002,180,Coffee Mug
2025-08-15,STR001,SKU1001,0,Nike Running Shoes
2025-08-15,STR001,SKU1002,90,Coffee Mug
2025-08-15,STR002,SKU1001,280,Nike Running Shoes
2025-08-15,STR002,SKU1002,0,Coffee Mug
2025-08-15,STR003,SKU1001,120,Nike Running Shoes
2025-08-15,STR003,SKU1002,100,Coffee Mug
2025-08-16,STR001,SKU1001,0,Nike Running Shoes
2025-08-16,STR001,SKU1002,60,Coffee Mug
2025-08-16,STR002,SKU1001,360,Nike Running Shoes
2025-08-16,STR002,SKU1002,0,Coffee Mug
2025-08-16,STR003,SKU1001,230,Nike Running Shoes
2025-08-16,STR003,SKU1002,100,Coffee Mug
2025-08-17,STR001,SKU1001,0,Nike Running Shoes
2025-08-17,STR001,SKU1002,120,Coffee Mug
2025-08-17,STR002,SKU1001,190,Nike Running Shoes
2025-08-17,STR002,SKU1002,0,Coffee Mug
2025-08-17,STR003,SKU1001,320,Nike Running Shoes
2025-08-17,STR003,SKU1002,180,Coffee Mug
2025-08-18,STR001,SKU1001,0,Nike Running Shoes
2025-08-18,STR001,SKU1002,40,Coffee Mug
2025-08-18,STR002,SKU1001,190,Nike Running Shoes
2025-08-18,STR002,SKU1002,0,Coffee Mug
2025-08-18,STR003,SKU1001,100,Nike Running Shoes
2025-08-18,STR003,SKU1002,140,Coffee Mug
2025-08-19,STR001,SKU1001,0,Nike Running Shoes
2025-08-19,STR001,SKU1002,90,Coffee Mug
2025-08-19,STR002,SKU1001,250,Nike Running Shoes
2025-08-19,STR002,SKU1002,0,Coffee Mug
2025-08-19,STR003,SKU1001,170,Nike Running Shoes
2025-08-19,STR003,SKU1002,170,Coffee Mug
2025-08-20,STR001,SKU1001,0,Nike Running Shoes
2025-08-20,STR001,SKU1002,110,Coffee Mug
2025-08-20,STR002,SKU1001,230,Nike Running Shoes
2025-08-20,STR002,SKU1002,0,Coffee Mug
2025-08-20,STR003,SKU1001,280,Nike Running Shoes
2025-08-20,STR003,SKU1002,140,Coffee Mug
2025-08-21,STR001,SKU1001,0,Nike Running Shoes
2025-08-21,STR001,SKU1002,50,Coffee Mug
2025-08-21,STR002,SKU1001,170,Nike Running Shoes
2025-08-21,STR002,SKU1002,0,Coffee Mug
2025-08-21,STR003,SKU1001,250,Nike Running Shoes
2025-08-21,STR003,SKU1002,80,Coffee Mug
2025-08-22,STR001,SKU1001,0,Nike Running Shoes
2025-08-22,STR001,SKU1002,70,Coffee Mug
2025-08-22,STR002,SKU1001,130,Nike Running Shoes
2025-08-22,STR002,SKU1002,0,Coffee Mug
2025-08-22,STR003,SKU1001,250,Nike Running Shoes
2025-08-22,STR003,SKU1002,180,Coffee Mug
2025-08-23,STR001,SKU1001,0,Nike Running Shoes
2025-08-23,STR001,SKU1002,80,Coffee Mug
2025-08-23,STR002,SKU1001,310,Nike Running Shoes
2025-08-23,STR002,SKU1002,0,Coffee Mug
2025-08-23,STR003,SKU1001,130,Nike Running Shoes
2025-08-23,STR003,SKU1002,170,Coffee Mug
2025-08-24,STR001,SKU1001,0,Nike Running Shoes
2025-08-24,STR001,SKU1002,60,Coffee Mug
2025-08-24,STR002,SKU1001,180,Nike Running Shoes
2025-08-24,STR002,SKU1002,0,Coffee Mug
2025-08-24,STR003,SKU1001,240,Nike Running Shoes
2025-08-24,STR003,SKU1002,0,Coffee Mug
2025-08-25,STR001,SKU1001,0,Nike Running Shoes
2025-08-25,STR001,SKU1002,80,Coffee Mug
2025-08-25,STR002,SKU1001,300,Nike Running Shoes
2025-08-25,STR002,SKU1002,0,Coffee Mug
2025-08-25,STR003,SKU1001,160,Nike Running Shoes
2025-08-25,STR003,SKU1002,40,Coffee Mug
2025-08-26,STR001,SKU1001,0,Nike Running Shoes
2025-08-26,STR001,SKU1002,80,Coffee Mug
2025-08-26,STR002,SKU1001,260,Nike Running Shoes
2025-08-26,STR002,SKU1002,0,Coffee Mug
2025-08-26,STR003,SKU1001,310,Nike Running Shoes
2025-08-26,STR003,SKU1002,90,Coffee Mug
2025-08-27,STR001,SKU1001,0,Nike Running Shoes
2025-08-27,STR001,SKU1002,10,Coffee Mug
2025-08-27,STR002,SKU1001,360,Nike Running Shoes
2025-08-27,STR002,SKU1002,0,Coffee Mug
2025-08-27,STR003,SKU1001,180,Nike Running Shoes
