id,date,sku,store_id,units_sold
1,2024-08-31,SKU1001,STR001,113
2,2024-08-31,SKU1002,STR001,68
3,2024-08-31,SKU1003,STR001,65
4,2024-08-31,SKU1004,STR001,111
5,2024-08-31,SKU1005,STR001,63
6,2024-08-31,SKU1001,STR002,5
7,2024-08-31,SKU1002,STR002,28
8,2024-08-31,SKU1003,STR002,25
9,2024-08-31,SKU1004,STR002,27
10,2024-08-31,SKU1005,STR002,8
11,2024-08-31,SKU1001,STR003,13
12,2024-08-31,SKU1002,STR003,15
13,2024-08-31,SKU1003,STR003,5
14,2024-08-31,SKU1004,STR003,27
15,2024-08-31,SKU1005,STR003,14
16,2024-08-31,SKU1001,STR004,77
17,2024-08-31,SKU1002,STR004,56
18,2024-08-31,SKU1003,STR004,69
19,2024-08-31,SKU1004,STR004,94
20,2024-08-31,SKU1005,STR004,113
21,2024-08-31,SKU1001,STR005,6
22,2024-08-31,SKU1002,STR005,6
23,2024-08-31,SKU1003,STR005,7
24,2024-08-31,SKU1004,STR005,25
25,2024-08-31,SKU1005,STR005,28
26,2024-08-31,SKU1001,STR006,236
27,2024-08-31,SKU1002,STR006,197
28,2024-08-31,SKU1003,STR006,171
29,2024-08-31,SKU1004,STR006,247
30,2024-08-31,SKU1005,STR006,151
31,2024-08-31,SKU1001,STR007,224
32,2024-08-31,SKU1002,STR007,289
33,2024-08-31,SKU1003,STR007,226
34,2024-08-31,SKU1004,STR007,297
35,2024-08-31,SKU1005,STR007,176
36,2024-08-31,SKU1001,STR008,106
37,2024-08-31,SKU1002,STR008,82
38,2024-08-31,SKU1003,STR008,103
39,2024-08-31,SKU1004,STR008,50
40,2024-08-31,SKU1005,STR008,116
41,2024-08-31,SKU1001,STR009,71
42,2024-08-31,SKU1002,STR009,78
43,2024-08-31,SKU1003,STR009,91
44,2024-08-31,SKU1004,STR009,76
45,2024-08-31,SKU1005,STR009,91
46,2024-08-31,SKU1001,STR010,79
47,2024-08-31,SKU1002,STR010,97
48,2024-08-31,SKU1003,STR010,85
49,2024-08-31,SKU1004,STR010,78
50,2024-08-31,SKU1005,STR010,83
51,2024-09-01,SKU1001,STR001,72
52,2024-09-01,SKU1002,STR001,64
53,2024-09-01,SKU1003,STR001,118
54,2024-09-01,SKU1004,STR001,118
55,2024-09-01,SKU1005,STR001,119
56,2024-09-01,SKU1001,STR002,13
57,2024-09-01,SKU1002,STR002,17
58,2024-09-01,SKU1003,STR002,9
59,2024-09-01,SKU1004,STR002,9
60,2024-09-01,SKU1005,STR002,19
61,2024-09-01,SKU1001,STR003,11
62,2024-09-01,SKU1002,STR003,24
63,2024-09-01,SKU1003,STR003,23
64,2024-09-01,SKU1004,STR003,9
65,2024-09-01,SKU1005,STR003,21
66,2024-09-01,SKU1001,STR004,57
67,2024-09-01,SKU1002,STR004,59
68,2024-09-01,SKU1003,STR004,115
69,2024-09-01,SKU1004,STR004,102
70,2024-09-01,SKU1005,STR004,93
71,2024-09-01,SKU1001,STR005,21
72,2024-09-01,SKU1002,STR005,15
73,2024-09-01,SKU1003,STR005,14
74,2024-09-01,SKU1004,STR005,18
75,2024-09-01,SKU1005,STR005,16
76,2024-09-01,SKU1001,STR006,256
77,2024-09-01,SKU1002,STR006,156
78,2024-09-01,SKU1003,STR006,248
79,2024-09-01,SKU1004,STR006,230
80,2024-09-01,SKU1005,STR006,191
81,2024-09-01,SKU1001,STR007,276
82,2024-09-01,SKU1002,STR007,195
83,2024-09-01,SKU1003,STR007,258
84,2024-09-01,SKU1004,STR007,183
85,2024-09-01,SKU1005,STR007,159
86,2024-09-01,SKU1001,STR008,50
87,2024-09-01,SKU1002,STR008,55
88,2024-09-01,SKU1003,STR008,116
89,2024-09-01,SKU1004,STR008,69
90,2024-09-01,SKU1005,STR008,70
91,2024-09-01,SKU1001,STR009,98
92,2024-09-01,SKU1002,STR009,83
93,2024-09-01,SKU1003,STR009,106
94,2024-09-01,SKU1004,STR009,59
95,2024-09-01,SKU1005,STR009,52
96,2024-09-01,SKU1001,STR010,50
97,2024-09-01,SKU1002,STR010,112
98,2024-09-01,SKU1003,STR010,101
99,2024-09-01,SKU1004,STR010,82
100,2024-09-01,SKU1005,STR010,54
101,2024-09-02,SKU1001,STR001,67
102,2024-09-02,SKU1002,STR001,88
103,2024-09-02,SKU1003,STR001,56
104,2024-09-02,SKU1004,STR001,109
105,2024-09-02,SKU1005,STR001,70
106,2024-09-02,SKU1001,STR002,19
107,2024-09-02,SKU1002,STR002,23
108,2024-09-02,SKU1003,STR002,14
109,2024-09-02,SKU1004,STR002,7
110,2024-09-02,SKU1005,STR002,27
111,2024-09-02,SKU1001,STR003,16
112,2024-09-02,SKU1002,STR003,29
113,2024-09-02,SKU1003,STR003,8
114,2024-09-02,SKU1004,STR003,20
115,2024-09-02,SKU1005,STR003,26
116,2024-09-02,SKU1001,STR004,106
117,2024-09-02,SKU1002,STR004,72
118,2024-09-02,SKU1003,STR004,110
119,2024-09-02,SKU1004,STR004,81
120,2024-09-02,SKU1005,STR004,78
121,2024-09-02,SKU1001,STR005,17
122,2024-09-02,SKU1002,STR005,7
123,2024-09-02,SKU1003,STR005,22
124,2024-09-02,SKU1004,STR005,24
125,2024-09-02,SKU1005,STR005,28
126,2024-09-02,SKU1001,STR006,215
127,2024-09-02,SKU1002,STR006,228
128,2024-09-02,SKU1003,STR006,250
129,2024-09-02,SKU1004,STR006,266
130,2024-09-02,SKU1005,STR006,251
131,2024-09-02,SKU1001,STR007,260
132,2024-09-02,SKU1002,STR007,161
133,2024-09-02,SKU1003,STR007,299
134,2024-09-02,SKU1004,STR007,270
135,2024-09-02,SKU1005,STR007,194
136,2024-09-02,SKU1001,STR008,59
137,2024-09-02,SKU1002,STR008,54
138,2024-09-02,SKU1003,STR008,74
139,2024-09-02,SKU1004,STR008,79
140,2024-09-02,SKU1005,STR008,65
141,2024-09-02,SKU1001,STR009,111
142,2024-09-02,SKU1002,STR009,88
143,2024-09-02,SKU1003,STR009,83
144,2024-09-02,SKU1004,STR009,119
145,2024-09-02,SKU1005,STR009,78
146,2024-09-02,SKU1001,STR010,92
147,2024-09-02,SKU1002,STR010,76
148,2024-09-02,SKU1003,STR010,104
149,2024-09-02,SKU1004,STR010,70
150,2024-09-02,SKU1005,STR010,51
151,2024-09-03,SKU1001,STR001,51
152,2024-09-03,SKU1002,STR001,113
153,2024-09-03,SKU1003,STR001,97
154,2024-09-03,SKU1004,STR001,109
155,2024-09-03,SKU1005,STR001,93
156,2024-09-03,SKU1001,STR002,6
157,2024-09-03,SKU1002,STR002,13
158,2024-09-03,SKU1003,STR002,20
159,2024-09-03,SKU1004,STR002,22
160,2024-09-03,SKU1005,STR002,28
161,2024-09-03,SKU1001,STR003,8
162,2024-09-03,SKU1002,STR003,28
163,2024-09-03,SKU1003,STR003,12
164,2024-09-03,SKU1004,STR003,17
165,2024-09-03,SKU1005,STR003,9
166,2024-09-03,SKU1001,STR004,93
167,2024-09-03,SKU1002,STR004,75
168,2024-09-03,SKU1003,STR004,70
169,2024-09-03,SKU1004,STR004,90
170,2024-09-03,SKU1005,STR004,107
171,2024-09-03,SKU1001,STR005,11
172,2024-09-03,SKU1002,STR005,15
173,2024-09-03,SKU1003,STR005,16
174,2024-09-03,SKU1004,STR005,15
175,2024-09-03,SKU1005,STR005,14
176,2024-09-03,SKU1001,STR006,178
177,2024-09-03,SKU1002,STR006,227
178,2024-09-03,SKU1003,STR006,288
179,2024-09-03,SKU1004,STR006,261
180,2024-09-03,SKU1005,STR006,208
181,2024-09-03,SKU1001,STR007,160
182,2024-09-03,SKU1002,STR007,208
183,2024-09-03,SKU1003,STR007,230
184,2024-09-03,SKU1004,STR007,237
185,2024-09-03,SKU1005,STR007,157
186,2024-09-03,SKU1001,STR008,103
187,2024-09-03,SKU1002,STR008,94
188,2024-09-03,SKU1003,STR008,88
189,2024-09-03,SKU1004,STR008,109
190,2024-09-03,SKU1005,STR008,116
191,2024-09-03,SKU1001,STR009,111
192,2024-09-03,SKU1002,STR009,91
193,2024-09-03,SKU1003,STR009,69
194,2024-09-03,SKU1004,STR009,108
195,2024-09-03,SKU1005,STR009,94
196,2024-09-03,SKU1001,STR010,98
197,2024-09-03,SKU1002,STR010,79
198,2024-09-03,SKU1003,STR010,106
199,2024-09-03,SKU1004,STR010,53
200,2024-09-03,SKU1005,STR010,80
201,2024-09-04,SKU1001,STR001,98
202,2024-09-04,SKU1002,STR001,99
203,2024-09-04,SKU1003,STR001,103
204,2024-09-04,SKU1004,STR001,61
205,2024-09-04,SKU1005,STR001,76
206,2024-09-04,SKU1001,STR002,7
207,2024-09-04,SKU1002,STR002,9
208,2024-09-04,SKU1003,STR002,29
209,2024-09-04,SKU1004,STR002,29
210,2024-09-04,SKU1005,STR002,19
211,2024-09-04,SKU1001,STR003,21
212,2024-09-04,SKU1002,STR003,25
213,2024-09-04,SKU1003,STR003,28
214,2024-09-04,SKU1004,STR003,13
215,2024-09-04,SKU1005,STR003,7
216,2024-09-04,SKU1001,STR004,66
217,2024-09-04,SKU1002,STR004,83
218,2024-09-04,SKU1003,STR004,87
219,2024-09-04,SKU1004,STR004,95
220,2024-09-04,SKU1005,STR004,50
221,2024-09-04,SKU1001,STR005,22
222,2024-09-04,SKU1002,STR005,8
223,2024-09-04,SKU1003,STR005,17
224,2024-09-04,SKU1004,STR005,29
225,2024-09-04,SKU1005,STR005,17
226,2024-09-04,SKU1001,STR006,263
227,2024-09-04,SKU1002,STR006,277
228,2024-09-04,SKU1003,STR006,211
229,2024-09-04,SKU1004,STR006,225
230,2024-09-04,SKU1005,STR006,214
231,2024-09-04,SKU1001,STR007,202
