sku,store_code,safety_stock_level,reorder_level
SKU1001,STR001,50,100
SKU1001,STR002,30,80
SKU1001,STR003,40,90
SKU1001,STR004,45,110
SKU1001,STR005,35,95
SKU1001,STR006,60,130
SKU1001,STR007,55,125
SKU1001,STR008,42,105
SKU1001,STR009,38,88
SKU1001,STR010,20,60
SKU1002,STR001,60,120
SKU1002,STR002,25,70
SKU1002,STR003,35,85
SKU1002,STR004,55,125
SKU1002,STR005,40,100
SKU1002,STR006,50,115
SKU1002,STR007,30,80
SKU1002,STR008,45,110
SKU1002,STR009,32,75
SKU1002,STR010,22,65
SKU1003,STR001,70,150
SKU1003,STR002,45,100
SKU1003,STR003,55,120
SKU1003,STR004,65,140
SKU1003,STR005,48,115
SKU1003,STR006,75,160
SKU1003,STR007,60,130
SKU1003,STR008,52,125
SKU1003,STR009,40,95
SKU1003,STR010,30,70
SKU1004,STR001,80,160
SKU1004,STR002,35,90
SKU1004,STR003,45,110
SKU1004,STR004,70,150
SKU1004,STR005,55,120
SKU1004,STR006,85,180
SKU1004,STR007,65,140
SKU1004,STR008,58,135
SKU1004,STR009,45,105
SKU1004,STR010,35,75
SKU1005,STR001,90,180
SKU1005,STR002,50,110
SKU1005,STR003,60,130
SKU1005,STR004,75,160
SKU1005,STR005,60,135
SKU1005,STR006,95,200
SKU1005,STR007,70,150
SKU1005,STR008,65,145
SKU1005,STR009,50,115
SKU1005,STR010,40,85
