start_location,end_location,transfer_cost,lead_time
STR001,STR002,120.50,7
STR001,STR003,350.75,5
STR001,STR004,450.00,8
STR001,STR007,180.00,4
STR001,STR010,95.50,2
STR002,STR001,120.50,7
STR002,STR003,360.20,6
STR002,STR004,320.00,5
STR002,STR007,150.00,3
STR003,STR001,350.75,5
STR003,STR002,360.20,6
STR003,STR004,210.00,3
STR003,STR007,300.00,4
STR004,STR001,450.00,8
STR004,STR002,320.00,5
STR004,STR003,210.00,3
STR004,STR005,90.00,2
STR005,STR004,90.00,2
STR006,STR007,110.00,3
STR007,STR001,180.00,4
STR007,STR002,150.00,3
STR007,STR003,300.00,4
STR007,STR006,110.00,3
STR008,STR009,250.00,6
STR009,STR008,250.00,6
STR010,STR001,95.50,2
